"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_brsc","deaths_rate_carc","deaths_rate_copd","deaths_rate_cram","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_dprd","deaths_rate_hanc","deaths_rate_hyhd","deaths_rate_ishd","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_nvhd","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_rdin","deaths_rate_rhhd","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_copd","ylds_rate_cram","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_dprd","ylds_rate_hanc","ylds_rate_hyhd","ylds_rate_ishd","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_nvhd","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_rdin","ylds_rate_rhhd","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_brsc","dw_adj_carc","dw_adj_copd","dw_adj_cram","dw_adj_cyri","dw_adj_dmt2","dw_adj_dprd","dw_adj_hanc","dw_adj_hyhd","dw_adj_ishd","dw_adj_lvrc","dw_adj_lwri","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_nvhd","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_rdin","dw_adj_rhhd","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_dprd","case_fatality_strk","remission_strk","incidence_strk","case_fatality_tbalc","remission_tbalc","incidence_tbalc","case_fatality_carc","remission_carc","incidence_carc","case_fatality_adaod","remission_adaod","incidence_adaod","case_fatality_dmt2","remission_dmt2","incidence_dmt2","case_fatality_pr'd","remission_pr'd","incidence_pr'd","case_fatality_nvhd","remission_nvhd","incidence_nvhd","incidence_ishd","case_fatality_ishd","remission_ishd","incidence_brsc","case_fatality_brsc","remission_brsc","incidence_copd","case_fatality_copd","remission_copd","case_fatality_stmc","remission_stmc","incidence_stmc","case_fatality_lvrc","remission_lvrc","incidence_lvrc","case_fatality_cram","remission_cram","incidence_cram","case_fatality_mltm","remission_mltm","incidence_mltm","case_fatality_utrc","remission_utrc","incidence_utrc","case_fatality_hanc","remission_hanc","incidence_hanc","case_fatality_rhhd","remission_rhhd","incidence_rhhd","remission_dprd","case_fatality_dprd","area"
"1",0,"female","female_0",0,NA,0.022524589844298,0,0,0.00243963881675314,0,0,0.000000346558711689999,0.0000103869553066457,0.000000118356292043965,0,0,0,0,0,0.00000134586341898366,0.0000634217691853625,0,0.000000245174143638832,0.00000277039448510272,0,0.000000233322390205661,0.00000216647932351851,0,0.00000543764806978525,0.00000017734072844603,0,0.00000171932966476864,0,0,0,0.0225740827099915,0,0,0.0000182519146194499,0.0000108065535523099,0.00000397488922128662,0,0.000000380910466254424,0,0,0,0.000000432426465317169,0.0000982515238118172,0,0.0000010660197561124,0.00000370242103711677,0,0.000000538812175405029,0.00000118296576994543,0,0.0000104382845776277,0.000000672139065195831,0,0.0000290340566685271,0,0,0,0.0390456683073978,0,0,0.0702274873367093,0,0.0560928677596711,0,0,0,0,0,0.0957661692590126,0.0635437580462352,0,0.0636117661501358,0.0918499187245176,0,0.061383437412583,0.0765284937134413,0,0.0687748174473397,0.0576368242905862,0,0.77330441142834,0,0,0.00000588219447295306,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"2",1,"female","female_1",0,NA,0.0239364965412006,0,0,0.00142460486184555,0,0,0.000000314081747520286,0.00000683522722050636,0.000000144094709910306,0,0,0,0,0,0.00000120265158805765,0.0000388190337084172,0,0.00000022457786564996,0.00000265594109887286,0,0.000000221205257728677,0.00000213604891590415,0,0.00000533949905906095,0.000000156920005546262,0,0.00000141672710181334,0,0,0,0.0240512116066695,0,0,0.0000227315609002867,0.0000113762696020167,0.00000506740734222383,0,0.00000100345485217207,0,0,0,0.000000464920914757569,0.0000800851785004007,0,0.0000013228977988481,0.00000462551187074465,0,0.000000671903117375493,0.00000156376454534066,0,0.0000132368176898333,0.000000796674931885947,0,0.0000360925636503803,0,0,0,0.040007507978457,0,0,0.0701688309836832,0,0.0557097886847232,0,0,0,0,0,0.0986742337040524,0.0639243025043819,0,0.0625827189102904,0.0903424531352418,0,0.0605518284763647,0.0749715711129455,0,0.0678687294006777,0.057770418450633,0,0.658727595359154,0,0,0.0000144195337803441,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"3",2,"female","female_2",2,"0 to 4",0.0254369056496694,32274.196421241,0,0.000831885030873132,0,0,0.000000284648288436732,0.00000449798134069749,0.000000175430347348346,0,0,0,0,0,0.00000107467876892725,0.0000237602545216134,0,0.000000205711813616807,0.00000254621612864654,0,0.000000209717404333461,0.00000210604593434344,0,0.00000524312162828859,0.000000138850721751335,0,0.00000116738268532261,0,0,0,0.0256249960266497,0,0,0.000028310666126654,0.0000119760207943546,0.00000646020951590499,0,0.00000264346015547683,0,0,0,0.0000004998571417697,0.0000652777236078821,0,0.00000164167556573184,0.00000577874851398886,0,0.000000837868592704951,0.00000206714312061395,0,0.0000167856453089446,0.00000094428516353317,0,0.0000448670733727972,0,0,0,0.0409930413290696,0,0,0.0701102236224107,0,0.0553293257993824,0,0,0,0,0,0.101670605313114,0.0643071259288515,0,0.0615703185627721,0.0888597284769804,0,0.0597314859900546,0.0734463230935935,0,0.0669745787982543,0.057904322263403,0,0.561127078127193,0,0,0.0000353478545122123,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"4",3,"female","female_3",0,NA,0.026958430814489,0,0,0.000462152101013882,0,0,0.000000254451743967814,0.00000283602139727783,0.000000214475344075015,0,0,0,0,0,0.000000948034569693327,0.0000139271458241459,0,0.000000183674194521413,0.00000241364696228126,0,0.000000195086562338325,0.00000205633076984753,0,0.00000509365639228194,0.00000012119483525348,0,0.000000933812563526048,0,0,0,0.0272118578052893,0,0,0.0000356026810405021,0.0000127072283900351,0.00000831010658580976,0,0.00000725027508109874,0,0,0,0.000000539176258793387,0.0000528884082038379,0,0.00000204893572887512,0.00000726022386220912,0,0.00000105093110773961,0.0000027553673262587,0,0.0000214407843777429,0.00000113032651894084,0,0.0000563120741253245,0,0,0,0.0418137054561533,0,0,0.0700526810570208,0,0.0549268107828533,0,0,0,0,0,0.104976431704899,0.0646959622907548,0,0.0604882777933524,0.0873223490111754,0,0.0588779967959131,0.071903131791239,0,0.0660340087478553,0.0580617149108876,0,0.470207486159386,0,0,0.0000898902871017351,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"5",4,"female","female_4",0,NA,0.0284938790237925,0,0,0.000244263900989601,0,0,0.000000224353714177858,0.00000171328067919512,0.000000263309171687642,0,0,0,0,0,0.000000825612659587723,0.00000781767881548296,0,0.000000159857745143348,0.00000226231922933411,0,0.000000178063166360341,0.00000198832145404357,0,0.00000489575472706833,0.000000104348504223475,0,0.000000725146236384226,0,0,0,0.028801832333784,0,0,0.0000452092294151307,0.0000135898529817316,0.0000107861334487073,0,0.0000207034625072001,0,0,0,0.000000583490328450106,0.0000425930394947112,0,0.00000257187168930345,0.00000917293785946127,0,0.00000132587219903499,0.00000370337964625975,0,0.0000275861738851184,0.00000136641746357784,0,0.0000713574097413886,0,0,0,0.0424587345570654,0,0,0.0699962007453813,0,0.0545027638736616,0,0,0,0,0,0.108615787163968,0.0650908928052594,0,0.0593408665497408,0.0857340151315297,0,0.0579931075865291,0.0703444528603689,0,0.0650493160164469,0.0582427861238325,0,0.387606270736404,0,0,0.000237137558898843,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"6",5,"female","female_5",0,NA,0.0301574922286829,0,0,0.000132360158398378,0,0,0.000000199179944547182,0.0000010573869624477,0.000000322586819509354,0,0,0,0,0,0.000000723644358724157,0.00000448426419261203,0,0.000000140919439665057,0.00000213247131539951,0,0.000000164075562128114,0.00000193195042635608,0,0.00000473079916677347,0.0000000904597267062095,0,0.000000571520446440345,0,0,0,0.0305350245456537,0,0,0.0000571301826944175,0.0000144765764102958,0.0000139371951846601,0,0.0000579399467782118,0,0,0,0.000000630416457232732,0.0000344053079122522,0,0.00000321906895415466,0.0000115570177370932,0,0.00000166787900136309,0.00000495692193980165,0,0.0000353645538168765,0.00000164370366221283,0,0.0000899901020519501,0,0,0,0.0432111176292883,0,0,0.0699392588656023,0,0.054094124992113,0,0,0,0,0,0.112264313858844,0.0654863511682528,0,0.0582565988132749,0.0842126344949133,0,0.0571429835805959,0.0688429947943245,0,0.0641075391218428,0.0584127592320472,0,0.322148103025766,0,0,0.000614212977067783,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"7",6,"female","female_6",0,NA,0.0320911736175407,0,0,0.000079240972755033,0,0,0.000000181759030217206,0.000000710861615713796,0.000000391918101857917,0,0,0,0,0,0.000000650819697273866,0.00000280475690578459,0,0.00000013074192548868,0.00000205593412365586,0,0.000000157038450898506,0.00000191411655222657,0,0.00000467034305741816,0.0000000805920171509478,0,0.000000477968315183987,0,0,0,0.0325867727088383,0,0,0.00007080771012665,0.000015179788425131,0.0000176883192043112,0,0.000149588990459807,0,0,0,0.000000676683113944016,0.0000281285264217423,0,0.00000398337634160757,0.0000143978837790986,0,0.00000207381139158237,0.00000652538855957545,0,0.0000446836407312632,0.00000193868017331696,0,0.00011133273284969,0,0,0,0.0443755962447376,0,0,0.0698803365722256,0,0.0537367502033277,0,0,0,0,0,0.115552939559579,0.0658766350420791,0,0.0573549197423694,0.0828679688411563,0,0.0563900065213969,0.0674653924109686,0,0.0632908136162804,0.0585364644091601,0,0.276677903683706,0,0,0.00147829767430337,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"8",7,"female","female_7",7,"5 to 9",0.0344732912061169,33154.3704969496,0,0.0000564816982990999,0,0,0.000000174035548979332,0.000000555061513943133,0.000000469232575478428,0,0,0,0,0,0.000000612312139206534,0.0000020411876310834,0,0.000000132654091046732,0.00000206195599090551,0,0.000000160631093712139,0.00000196223521684581,0,0.00000478670896798862,0.0000000753177391992798,0,0.000000443453896585992,0,0,0,0.0351801789049673,0,0,0.0000848309317140574,0.0000154837399968488,0.0000217545716902206,0,0.000335387927443494,0,0,0,0.000000718091838869793,0.0000234870929841238,0,0.00000483161740053475,0.0000175874861867012,0,0.00000252651678336651,0.00000834384959998283,0,0.0000550440416608058,0.0000022090891240252,0,0.000133191894528781,0,0,0,0.0462970522102535,0,0,0.0698179202613619,0,0.0534656331273767,0,0,0,0,0,0.11807382796399,0.0662559080985752,0,0.056748745828058,0.0818032381976909,0,0.0557934998607772,0.0662731010377927,0,0.0626774548681337,0.0585785112970295,0,0.251673839473388,0,0,0.00312912029240736,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"9",8,"female","female_8",0,NA,0.0375336678357957,0,0,0.0000502575411716417,0,0,0.000000175730430865335,0.000000526234517313146,0.0000005585098263293,0,0,0,0,0,0.000000611782672669197,0.00000180397615612934,0,0.000000149968813887937,0.00000213824863849632,0,0.000000179639003569152,0.00000210658999054008,0,0.00000510636667493778,0.000000074637182383409,0,0.000000470502926015227,0,0,0,0.0386023067279667,0,0,0.0000974549101596193,0.0000151426165907391,0.0000257866555610707,0,0.000641282053351167,0,0,0,0.000000754974390666521,0.0000200243313388354,0,0.00000572281601552037,0.0000209984247859305,0,0.00000300930691640419,0.0000103305269089343,0,0.0000658425369703292,0.0000024094124453962,0,0.000153150065098452,0,0,0,0.0492988059318739,0,0,0.0697355979617857,0,0.0532973504684136,0,0,0,0,0,0.119898490789984,0.0666249805408243,0,0.0564996014708674,0.0810736428643874,0,0.0553771993328041,0.0652790045662486,0,0.062305127979277,0.0584655108827564,0,0.240761500347622,0,0,0.00574372577125068,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
"10",9,"female","female_9",0,NA,0.0413073192732206,0,0,0.0000531108197090799,0,0,0.000000184566974315237,0.00000058039928827672,0.000000663650274955256,0,0,0,0,0,0.000000640826203960922,0.00000185414411700786,0,0.000000184141819474889,0.00000226697791528055,0,0.000000215512725477729,0.00000234543671756037,0,0.0000056094980181015,0.0000000773627772806819,0,0.000000554191789386341,0,0,0,0.0429096064038322,0,0,0.000108402875124161,0.0000143108857801049,0.0000297248189046061,0,0.0010887079555109,0,0,0,0.000000788969234660522,0.000017326701366481,0,0.0000066570687506905,0.0000246427816435728,0,0.00000352477357404389,0.0000124877492298252,0,0.0000770345319545721,0.00000254026275429972,0,0.000170885340770604,0,0,0,0.053337573987268,0,0,0.0696344500129306,0,0.0532070589458205,0,0,0,0,0,0.121245594651208,0.0669875100826111,0,0.0565224361129764,0.0805975044644332,0,0.0550957300746049,0.0644308772395218,0,0.0621148437327313,0.05822160184682,0,0.235195473972588,0,0,0.00948449202266308,0.000347660646387927,0,0.000105360269295601,0.392399921689115,0.0271908472663322,0.0000273062736147804,0.0131541098899773,0.0975082053123919,0.0000557836205555489,0.000810697162727849,0,0.0000606454183183896,0.0000498977285739287,0,0.00145834660990861,0.00418964613263369,0,0.00000497606299063484,0.000376639608444893,0,0.0000737232089978168,0.0000565448116350549,0.000264492165209879,0,0.000385060545705922,0.0380370451679843,0.181559825876974,0.000352656341259421,0.000115267804318959,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"nottingham"
