"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_brsc","deaths_rate_carc","deaths_rate_copd","deaths_rate_cram","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_dprd","deaths_rate_hanc","deaths_rate_hyhd","deaths_rate_ishd","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_nvhd","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_rdin","deaths_rate_rhhd","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_copd","ylds_rate_cram","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_dprd","ylds_rate_hanc","ylds_rate_hyhd","ylds_rate_ishd","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_nvhd","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_rdin","ylds_rate_rhhd","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_brsc","dw_adj_carc","dw_adj_copd","dw_adj_cram","dw_adj_cyri","dw_adj_dmt2","dw_adj_dprd","dw_adj_hanc","dw_adj_hyhd","dw_adj_ishd","dw_adj_lvrc","dw_adj_lwri","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_nvhd","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_rdin","dw_adj_rhhd","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_dprd","case_fatality_strk","remission_strk","incidence_strk","case_fatality_tbalc","remission_tbalc","incidence_tbalc","case_fatality_carc","remission_carc","incidence_carc","case_fatality_adaod","remission_adaod","incidence_adaod","case_fatality_dmt2","remission_dmt2","incidence_dmt2","case_fatality_pr'd","remission_pr'd","incidence_pr'd","case_fatality_nvhd","remission_nvhd","incidence_nvhd","incidence_ishd","case_fatality_ishd","remission_ishd","incidence_brsc","case_fatality_brsc","remission_brsc","incidence_copd","case_fatality_copd","remission_copd","case_fatality_stmc","remission_stmc","incidence_stmc","case_fatality_lvrc","remission_lvrc","incidence_lvrc","case_fatality_cram","remission_cram","incidence_cram","case_fatality_mltm","remission_mltm","incidence_mltm","case_fatality_utrc","remission_utrc","incidence_utrc","case_fatality_hanc","remission_hanc","incidence_hanc","case_fatality_rhhd","remission_rhhd","incidence_rhhd","area"
"1",0,"female","female_0",0,NA,0.0239884766117421,0,0,0.00193319510240561,0,0,0.00000044299968584371,0.0000119944069569473,0.000000170657522473765,0,0,0,0,0,0.00000107636061101219,0.0000635882017432504,0,0.000000203728314828462,0.00000225753613400871,0,0.000000205231747367314,0.00000233551727992418,0,0.00000508055220522742,0.00000011979956923907,0,0.000000766387936879877,0,0,0,0.0240386607167252,0,0,0.0000178053880572629,0.0000172339949851312,0.00000378299082122396,0,0.00000037404162883566,0,0,0,0.000000417788320040486,0.00008471508223024,0,0.00000116057657754021,0.00000354471279753982,0,0.000000497436974549721,0.00000113147929715709,0,0.0000100918240332282,0.000000625714881516534,0,0.0000276647675975176,0,0,0,0.0383915935616636,0,0,0.070413798386526,0,0.0561775016031647,0,0,0,0,0,0.091620389561047,0.0639453360859581,0,0.0639681698074647,0.0924537600959451,0,0.0614852023698648,0.0767234627313278,0,0.0689810639268086,0.0558249140775339,0,2.62754185419127,0,0,0.00000576322712182993,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"2",1,"female","female_1",0,NA,0.0257603880778048,0,0,0.00118927323347598,0,0,0.000000396045607563558,0.0000085488664329794,0.000000195997623927609,0,0,0,0,0,0.0000010057992439218,0.0000407079898712312,0,0.000000182642743057307,0.00000211557950749902,0,0.000000183674843421258,0.00000229239660283352,0,0.00000493099658128539,0.000000108018529956448,0,0.000000663479017941442,0,0,0,0.0258715217640173,0,0,0.0000221907034209785,0.0000180100286785222,0.00000484966062555233,0,0.000000986927144414204,0,0,0,0.00000046483170388782,0.0000681593554517642,0,0.00000144579320353122,0.00000445373716882892,0,0.000000624991616450579,0.00000150222645344942,0,0.0000128624711890791,0.000000742613077051352,0,0.0000344275577104237,0,0,0,0.0399889605944724,0,0,0.0703239501781618,0,0.0557997968252386,0,0,0,0,0,0.0934239796933599,0.064192568258771,0,0.0629165484116776,0.0909138662056804,0,0.0606772648694075,0.0751713121128618,0,0.068069360328193,0.055968751912252,0,1.92183339324086,0,0,0.0000141663556427021,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"3",2,"female","female_2",2,"0 to 4",0.0276631819793961,309992.581455613,0,0.000731623425955518,0,0,0.00000035406824944279,0.0000060930996881502,0.000000225100353201096,0,0,0,0,0,0.000000939863563125325,0.0000260605016956964,0,0.000000163739496002728,0.00000198254928686449,0,0.000000164382209568405,0.00000225007206320189,0,0.00000478584340883861,0.0000000973960331248565,0,0.000000574388486646468,0,0,0,0.0278441318455118,0,0,0.0000276560845927177,0.0000188210065792078,0.00000621709364217362,0,0.00000260405557374344,0,0,0,0.000000517172219937398,0.000054839086657247,0,0.00000180110302743435,0.00000559587642270345,0,0.000000785254294751794,0.00000199445480188039,0,0.0000163937821889436,0.000000881350593534035,0,0.0000428435455214489,0,0,0,0.0416527896102516,0,0,0.0702342166163688,0,0.0554246315140954,0,0,0,0,0,0.0952630743392527,0.0644407563065705,0,0.0618822154198484,0.0893996205225933,0,0.059879943956023,0.073650562208814,0,0.0671697064632928,0.0561129603578888,0,1.4056649889265,0,0,0.0000348217462114864,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"4",3,"female","female_3",0,NA,0.0297136167432809,0,0,0.000431530766387129,0,0,0.000000312786306161054,0.00000420395416606813,0.000000258740662776789,0,0,0,0,0,0.000000871532544881511,0.0000160928908462015,0,0.000000143971912621469,0.00000183965556715209,0,0.000000144868592691223,0.00000219106049219138,0,0.00000460428625226601,0.0000000869672499050635,0,0.000000486594954480523,0,0,0,0.0299544263464617,0,0,0.0000348007965794976,0.0000198125932882908,0.00000804510065040939,0,0.00000715363217340156,0,0,0,0.000000579176377143819,0.0000438093120734996,0,0.00000225717147914176,0.00000707393077701322,0,0.000000992802155145569,0.00000267062143884524,0,0.0000210541431450457,0.00000105626766182935,0,0.0000538338849397756,0,0,0,0.0433148428858965,0,0,0.0701398488594668,0,0.0550280386890461,0,0,0,0,0,0.0972710684116742,0.0646755357485345,0,0.0607790089341948,0.0878372581587065,0,0.0590538014244514,0.0721156465045295,0,0.0662260028613845,0.0562766225216952,0,1.00691206855368,0,0,0.0000888114275988943,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"5",4,"female","female_4",0,NA,0.0319236508537635,0,0,0.000244036130421531,0,0,0.000000273040734545087,0.00000280780923620711,0.000000297657161507678,0,0,0,0,0,0.00000080198767348333,0.00000958591421463623,0,0.000000124158196565283,0.00000169031221628142,0,0.000000125721038749451,0.00000211672080120148,0,0.00000439082569001847,0.0000000769027140684724,0,0.000000403378567273945,0,0,0,0.0322109809324431,0,0,0.0000442146853865846,0.0000210092156151174,0.0000105085686883163,0,0.000020460402178248,0,0,0,0.000000652863961185195,0.0000347499462089156,0,0.00000284566762066261,0.00000899710224102233,0,0.00000126308147188223,0.00000360661514533457,0,0.00002724580518633,0.00000127831663423459,0,0.0000682994442146386,0,0,0,0.0449695009686022,0,0,0.0700408659025888,0,0.0546105155095928,0,0,0,0,0,0.09945706590584,0.0648967532495834,0,0.0596112422002261,0.0862302039715909,0,0.0582003261559698,0.0705687517557327,0,0.0652404501331071,0.0564599063314274,0,0.706390565356096,0,0,0.000235024456000817,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"6",5,"female","female_5",0,NA,0.0342939698439335,0,0,0.000140941014596667,0,0,0.00000023977156257555,0.00000190604107608173,0.000000342283855861378,0,0,0,0,0,0.000000740830976569427,0.00000581378438502797,0,0.000000108115103626544,0.00000156076816770278,0,0.000000109947291219092,0.00000205303877945646,0,0.00000420571706377988,0.000000068334790386782,0,0.000000338038655440853,0,0,0,0.0346448819106796,0,0,0.0000559054903683592,0.000022196951547687,0.0000136622317073071,0,0.000057351677467751,0,0,0,0.00000073352758291236,0.0000276621606048708,0,0.00000357690149618021,0.0000114082735446497,0,0.00000160192392104864,0.00000484995382394138,0,0.0000351244789245256,0.00000153951281990926,0,0.0000862348977171271,0,0,0,0.0467256181926389,0,0,0.069944390243604,0,0.0542079529123821,0,0,0,0,0,0.101622802591382,0.0651259603232359,0,0.0585072022613209,0.0846878841259712,0,0.0573782680570065,0.0690765470369099,0,0.064296702151547,0.0566341829276826,0,0.500756299257636,0,0,0.00061058244156428,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"7",6,"female","female_6",0,NA,0.0368227032779963,0,0,0.0000885491201035081,0,0,0.000000215640323131606,0.00000138075631764943,0.000000392943596485639,0,0,0,0,0,0.000000694928299318616,0.00000378955265551478,0,0.0000000978702615166456,0.00000146985365848216,0,0.0000000991590879625261,0.00000202315049445614,0,0.00000409990516671145,0.0000000619154653879017,0,0.000000295837502427857,0,0,0,0.037294344905142,0,0,0.000069340130539096,0.0000231119589934204,0.0000174326616472501,0,0.000148304960636103,0,0,0,0.000000813462981643478,0.0000223354699866709,0,0.00000444265457659423,0.0000142902187610315,0,0.00000200641092520684,0.00000641175217403316,0,0.000044597735074584,0.00000181823423805283,0,0.00010679887467557,0,0,0,0.0487096148575921,0,0,0.0698575056712233,0,0.053855206134575,0,0,0,0,0,0.103552589961429,0.0653850188364096,0,0.057585997861153,0.0833120953210248,0,0.0566431349707359,0.0677001772729676,0,0.0634737011830512,0.0567704786629065,0,0.370101377086628,0,0,0.00147341052169892,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"8",7,"female","female_7",7,"5 to 9",0.0395048844249007,289447.925035466,0,0.0000644640213872168,0,0,0.000000202206865766629,0.00000112069398990694,0.000000449782989228242,0,0,0,0,0,0.000000669626071675682,0.00000280219493617948,0,0.0000000948218862533053,0.00000143283835716004,0,0.0000000943801126267375,0.00000204988635271949,0,0.00000412170969798781,0.0000000580438617898944,0,0.000000279317657218167,0,0,0,0.0402061247432342,0,0,0.0000831550873373448,0.0000234576799832049,0.0000215262168953304,0,0.000333024373865518,0,0,0,0.000000881723516456043,0.0000184890204897487,0,0.00000540381463332681,0.000017522084481865,0,0.00000245861746848942,0.00000822750520745468,0,0.0000551382386864664,0.00000207529215591634,0,0.000127873734140711,0,0,0,0.0510697787528859,0,0,0.0697872633923716,0,0.0535863033754648,0,0,0,0,0,0.10501606485168,0.065696164521282,0,0.0569600908492392,0.0821984100491229,0,0.0560477691509868,0.0664960340044738,0,0.0628466822036382,0.0568395952580172,0,0.294247167687219,0,0,0.00312473055036334,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"9",8,"female","female_8",0,NA,0.0423000301804127,0,0,0.0000564482721720105,0,0,0.000000198364999733283,0.00000105118746880416,0.000000515749599843437,0,0,0,0,0,0.000000669922774982152,0.00000243249626996244,0,0.0000000985546778161875,0.00000143305865429707,0,0.0000000957260657962821,0.00000215234780299008,0,0.00000426257794475952,0.0000000566191766223958,0,0.000000289963327123591,0,0,0,0.043396969748352,0,0,0.0000956726626447959,0.0000228942518742406,0.0000255788546669379,0,0.000637803944620523,0,0,0,0.000000934923416798915,0.0000157025926787169,0,0.00000641249262582401,0.0000209650964387946,0,0.00000294046566504564,0.0000102148594779416,0,0.0000661082054142799,0.0000022686517475415,0,0.000147112689141906,0,0,0,0.0538566935759342,0,0,0.0697253650114531,0,0.0534124032854344,0,0,0,0,0,0.106051548396661,0.0660696527352356,0,0.056688810983507,0.0813874700326989,0,0.0556079009741154,0.0654688344799464,0,0.0624394942714702,0.0567782535736473,0,0.256723876399544,0,0,0.00574137395006343,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
"10",9,"female","female_9",0,NA,0.0452156693865232,0,0,0.0000570035929955947,0,0,0.000000201166835378357,0.00000110302758197583,0.000000592926656329838,0,0,0,0,0,0.000000690529838699876,0.00000239109946451444,0,0.000000107777970676326,0.00000145567866645582,0,0.000000101881650727282,0.0000023234185926217,0,0.00000449509278004971,0.0000000569104938105919,0,0.000000323869924870587,0,0,0,0.0468770388641209,0,0,0.00010662538925848,0.0000216436743950212,0.0000295237732328506,0,0.00108467697755693,0,0,0,0.000000976123659118775,0.0000135856043522241,0,0.00000746819200337667,0.0000246275562925822,0,0.0000034539146014396,0.0000123756710962214,0,0.0000774504427514779,0.00000239858312424624,0,0.000164196602332137,0,0,0,0.0570335628142916,0,0,0.0696670717565903,0,0.0533093857062987,0,0,0,0,0,0.106791736688186,0.0664917569267185,0,0.0566870318376225,0.0808030954488957,0,0.0552831625477365,0.0645707606691046,0,0.0621953905767827,0.0566060695318753,0,0.240727795317102,0,0,0.00948329912596504,0.0000000780159555735864,0,0.0000939306918367932,0.00222606475092712,0.0222054840303575,0.00000462871057861212,0.0000476234296680206,0.0896122059107474,0.0000423831694116038,0.000041900806964796,0,0.0000613199796062047,0.00000404750406084218,0,0.00159495954040964,0.000386872183398809,0,0.00000242374172008059,0.0000268767214374,0,0.000104931370832878,0.0000573214312855723,0.000189139822607346,0,0.000427138810315948,0.0370172205208979,0.181180777770814,0.000382051184351786,0.0000754608828141676,0,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"london"
