age,sex,age_cat,sex_age_cat,population_number,area,sex_age_area_cat,dw_adj_espc,dw_adj_adaod,dw_adj_prd,dw_adj_acml,dw_adj_chml,dw_adj_kdnc,dw_adj_bldc,dw_adj_mltm,dw_adj_crdd,dw_adj_ishd,dw_adj_strk,dw_adj_iscs,dw_adj_brsc,dw_adj_utrc,dw_adj_prsc,dw_adj_carc,dw_adj_mlsm,dw_adj_copd,dw_adj_dmt2,dw_adj_stmc,dw_adj_lvrc,dw_adj_tbalc,deaths_rate_espc,ylds (years lived with disability)_rate_espc,deaths_rate_adaod,ylds (years lived with disability)_rate_adaod,deaths_rate_prd,ylds (years lived with disability)_rate_prd,deaths_rate_lri,ylds_rate_lri,deaths_rate_pedestrian,ylds_rate_pedestrian,deaths_rate_acml,ylds (years lived with disability)_rate_acml,deaths_rate_chml,ylds (years lived with disability)_rate_chml,deaths_rate_kdnc,ylds (years lived with disability)_rate_kdnc,deaths_rate_bldc,ylds (years lived with disability)_rate_bldc,deaths_rate_mltm,ylds (years lived with disability)_rate_mltm,deaths_rate_crdd,ylds (years lived with disability)_rate_crdd,deaths_rate_ishd,ylds (years lived with disability)_rate_ishd,deaths_rate_strk,ylds (years lived with disability)_rate_strk,deaths_rate_iscs,ylds (years lived with disability)_rate_iscs,deaths_rate_hyhd,ylds (years lived with disability)_rate_hyhd,deaths_rate_brsc,ylds (years lived with disability)_rate_brsc,deaths_rate_utrc,ylds (years lived with disability)_rate_utrc,deaths_rate_prsc,ylds (years lived with disability)_rate_prsc,deaths_rate_carc,ylds (years lived with disability)_rate_carc,deaths_rate_mlsm,ylds (years lived with disability)_rate_mlsm,mx,pyld_rate,deaths_rate_copd,ylds (years lived with disability)_rate_copd,deaths_rate_dmt2,ylds (years lived with disability)_rate_dmt2,deaths_rate_cyclist,ylds_rate_cyclist,deaths_rate_motorcyclist,ylds_rate_motorcyclist,deaths_rate_motor,ylds_rate_motor,deaths_rate_other,ylds_rate_other,deaths_rate_stmc,ylds (years lived with disability)_rate_stmc,deaths_rate_lvrc,ylds (years lived with disability)_rate_lvrc,deaths_rate_tbalc,ylds (years lived with disability)_rate_tbalc,deaths_rate_mjdd,ylds (years lived with disability)_rate_mjdd,model,incidence_adaod,case_fatality_adaod,prevalence_adaod,incidence_brsc,case_fatality_brsc,prevalence_brsc,incidence_carc,case_fatality_carc,prevalence_carc,incidence_copd,case_fatality_copd,prevalence_copd,incidence_crdd,case_fatality_crdd,prevalence_crdd,incidence_dmt2,case_fatality_dmt2,prevalence_dmt2,incidence_iscs,case_fatality_iscs,prevalence_iscs,incidence_ishd,case_fatality_ishd,prevalence_ishd,incidence_lvrc,case_fatality_lvrc,prevalence_lvrc,incidence_stmc,case_fatality_stmc,prevalence_stmc,incidence_strk,case_fatality_strk,prevalence_strk,incidence_tbalc,case_fatality_tbalc,prevalence_tbalc,incidence_utrc,case_fatality_utrc,prevalence_utrc,lower95_incidence_adaod,lower95_case_fatality_adaod,lower95_prevalence_adaod,lower95_incidence_brsc,lower95_case_fatality_brsc,lower95_prevalence_brsc,lower95_incidence_carc,lower95_case_fatality_carc,lower95_prevalence_carc,lower95_incidence_copd,lower95_case_fatality_copd,lower95_prevalence_copd,lower95_incidence_crdd,lower95_case_fatality_crdd,lower95_prevalence_crdd,lower95_incidence_dmt2,lower95_case_fatality_dmt2,lower95_prevalence_dmt2,lower95_incidence_iscs,lower95_case_fatality_iscs,lower95_prevalence_iscs,lower95_incidence_ishd,lower95_case_fatality_ishd,lower95_prevalence_ishd,lower95_incidence_lvrc,lower95_case_fatality_lvrc,lower95_prevalence_lvrc,lower95_incidence_stmc,lower95_case_fatality_stmc,lower95_prevalence_stmc,lower95_incidence_strk,lower95_case_fatality_strk,lower95_prevalence_strk,lower95_incidence_tbalc,lower95_case_fatality_tbalc,lower95_prevalence_tbalc,lower95_incidence_utrc,lower95_case_fatality_utrc,lower95_prevalence_utrc,upper95_incidence_adaod,upper95_case_fatality_adaod,upper95_prevalence_adaod,upper95_incidence_brsc,upper95_case_fatality_brsc,upper95_prevalence_brsc,upper95_incidence_carc,upper95_case_fatality_carc,upper95_prevalence_carc,upper95_incidence_copd,upper95_case_fatality_copd,upper95_prevalence_copd,upper95_incidence_crdd,upper95_case_fatality_crdd,upper95_prevalence_crdd,upper95_incidence_dmt2,upper95_case_fatality_dmt2,upper95_prevalence_dmt2,upper95_incidence_iscs,upper95_case_fatality_iscs,upper95_prevalence_iscs,upper95_incidence_ishd,upper95_case_fatality_ishd,upper95_prevalence_ishd,upper95_incidence_lvrc,upper95_case_fatality_lvrc,upper95_prevalence_lvrc,upper95_incidence_stmc,upper95_case_fatality_stmc,upper95_prevalence_stmc,upper95_incidence_strk,upper95_case_fatality_strk,upper95_prevalence_strk,upper95_incidence_tbalc,upper95_case_fatality_tbalc,upper95_prevalence_tbalc,upper95_incidence_utrc,upper95_case_fatality_utrc,upper95_prevalence_utrc
0,male,0,male_0,0,northeast,male_0_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.06437974459330076,0,1,1,0,1,1,1,1,1,1,1.119459279350897e-4,0,3.6730139301412594e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3.5435138260103787e-6,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0.003091127783755235,0,1.0324561768061421e-6,0,0,0,2.0854160982478123e-7,0,5.193221471753754e-7,0,2.563392075331746e-6,0,1.0281281257862252e-7,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,male,0,male_1,0,northeast,male_1_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.06373151285511154,0,1,1,0,1,1,1,1,1,1,6.110089301024746e-5,0,3.3882017319786806e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2.5607581211448563e-6,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0.001686001803152343,0,7.468225732710364e-7,0,0,0,2.3793943566672455e-7,0,4.47800732618768e-7,0,2.236352015439458e-6,0,1.010598378967803e-7,0,1,1,1,1,0,0,1,1,smoothed,4.9279188701353493e-5,0.001249219612319891,0,6.290690442712588e-5,269.4498598319576,0,3.76418436065333e-5,0.019939563247719533,0,1.420907237150024e-4,6.704286185918636e-4,0,2.6243798622373974e-4,0.0076196568269171015,0,5.564262523796982e-5,3.067711366859567e-5,0,1.1917253043626128e-4,0.0011483584375534942,0,4.223779844153615e-5,0.02274646974651464,0,3.919639352460544e-5,0.008331951974614466,0,3.827430454635171e-5,0.01713879989778492,0,1.0983177223226521e-4,0.007994709174312442,0,3.874302500413734e-5,0.6473455980831471,0,7.03529078983308e-5,476484.94767984113,0,1.629263103056064e-6,2.4998773364454156e-4,0,2.722541114457285e-6,22.013582550809364,0,1.3419642008421917e-6,0.011193491157329658,0,2.1012689644423188e-5,3.7170020548226465e-4,0,7.920068065634627e-5,0.00638479241497205,0,2.642885425164578e-6,7.895586946962247e-6,0,1.869396826751096e-5,4.101270207321822e-4,0,1.5523524997658765e-6,0.01765680606254672,0,1.5181106175249078e-6,0.0032511539851746594,0,1.4587793764997112e-6,0.007666198038124335,0,1.7285056392426574e-5,0.00528885840994274,0,1.3076813957830294e-6,0.2325190522130651,0,3.0990061953735017e-6,191.8229941063818,0,2.4521940397374955e-4,0.003759404427130687,0,3.230432042461576e-4,42111.958158539615,0,2.0286421649084356e-4,0.03334501748299541,0,4.630424107525491e-4,0.0010633326773280302,0,5.897297134768982e-4,0.009006914944793247,0,3.1695950611766656e-4,9.914420685907915e-5,0,3.9893952932752805e-4,0.002619924649243336,0,2.1343152617281122e-4,0.02939461164645502,0,2.1883671289068255e-4,2.7439086105102724,0,1.9468802545436658e-4,0.04489069557234048,0,3.6936792044336774e-4,0.012165601599219056,0,1.9919519680794117e-4,2.850397051804399,0,3.1493570343461423e-4,6530118817.304347,0
2,male,2,male_2,55156.389666263756,northeast,male_2_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.06308980808264811,0,1,1,0,1,1,1,1,1,1,3.334930707630932e-5,0,3.125474391038268e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.8505592124053747e-6,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,9.196003138956726e-4,0,5.402107793790628e-7,0,0,0,2.7148143285633983e-7,0,3.861292980177641e-7,0,1.9510360452030645e-6,0,9.933675170994247e-8,0,1,1,1,1,0,0,1,1,smoothed,4.8329917526490567e-5,0.001249219612319891,4.9241454697084575e-5,6.173467346466816e-5,269.4498598319576,1.8222325985846698e-7,3.757322927737746e-5,0.019939563247719533,3.725559455093131e-5,1.398464257613706e-4,6.704286185918636e-4,1.4203588828886083e-4,2.631138799102117e-4,0.0076196568269171015,2.614501786756703e-4,6.801890330866219e-5,3.067711366859567e-5,5.564031015698323e-5,1.1984285096387981e-4,0.0011483584375534942,1.1907894853460333e-4,4.058622783111737e-5,0.02274646974651464,4.1783483182354265e-5,4.11491043700293e-5,0.008331951974614466,3.753243836290612e-5,3.7864745384088174e-5,0.01713879989778492,3.7886840928003646e-5,1.1270052116729303e-4,0.007994709174312442,1.0940901182804e-4,3.513907228068423e-5,0.6473455980831471,2.5334884124550018e-5,5.133142582556506e-5,476484.94767984113,1.0494743178899631e-10,1.954234045151701e-6,2.4998773364454156e-4,1.628100243645457e-6,2.5797193991981797e-6,22.013582550809364,8.05144719050656e-10,1.5497908335837436e-6,0.011193491157329658,1.3301498951660183e-6,2.048638257314316e-5,3.7170020548226465e-4,2.1006040096624563e-5,7.485578563792437e-5,0.00638479241497205,7.891351571991393e-5,2.152553729391807e-6,7.895586946962247e-6,2.6428156036817424e-6,1.7050014946842417e-5,4.101270207321822e-4,1.86865880184451e-5,1.5883223112462683e-6,0.01765680606254672,1.534564356724099e-6,1.5979861015526209e-6,0.0032511539851746594,1.4119411084227703e-6,1.1848145248006063e-6,0.007666198038124335,1.4386308845873006e-6,1.5492654525215555e-5,0.00528885840994274,1.7212214295369292e-5,1.4569830600680374e-6,0.2325190522130651,9.33056518308631e-7,2.269682161364742e-6,191.8229941063818,6.194773305246036e-15,2.497103087345126e-4,0.003759404427130687,2.4510621185429873e-4,3.3177809288324067e-4,42111.958158539615,5.034138301090744e-6,1.996020830564558e-4,0.03334501748299541,2.0086110765441822e-4,4.714198172268672e-4,0.0010633326773280302,4.627746966705333e-4,6.052650697183679e-4,0.009006914944793247,5.872113053603818e-4,3.091618547391655e-4,9.914420685907915e-5,3.169084358218506e-4,3.9746322539152627e-4,0.002619924649243336,3.98562475852065e-4,2.185297412596902e-4,0.02939461164645502,2.1123019775927854e-4,2.2154847898399772e-4,2.7439086105102724,2.1252177921494308e-4,2.042073722272002e-4,0.04489069557234048,1.9295528412823458e-4,3.799222864301648e-4,0.012165601599219056,3.6789186279838007e-4,1.9736370050746607e-4,2.850397051804399,1.3856713856530097e-4,3.336286304050101e-4,6530118817.304347,3.8556720551478036e-7
3,male,0,male_3,0,northeast,male_3_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.062432585673672845,0,1,1,0,1,1,1,1,1,1,1.7205359749216316e-5,0,2.8193831981815923e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.2750735194807313e-6,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,4.713529687741972e-4,0,3.763840230496779e-7,0,0,0,3.053233520459137e-7,0,3.206507115135171e-7,0,1.6531978280334098e-6,0,9.642459820108091e-8,0,1,1,1,1,0,0,1,1,smoothed,4.623102977607618e-5,0.001249219612319891,1.153634003451258e-4,5.9081421323624215e-5,269.4498598319576,1.8432286111663792e-7,3.6653834416849224e-5,0.019939563247719533,8.929207364088434e-5,1.4136712033218737e-4,6.704286185918636e-4,3.085514447969545e-4,2.491293135575218e-4,0.0076196568269171015,5.384254837854974e-4,7.825065436876881e-5,3.067711366859567e-5,1.4296574038050533e-4,1.2228424839727097e-4,0.0011483584375534942,2.615480742267596e-4,4.080541366339943e-5,0.02274646974651464,9.721877879572984e-5,4.037717363192896e-5,0.008331951974614466,9.310965966361353e-5,3.7566655671974125e-5,0.01713879989778492,8.924359958662566e-5,1.1146196409922847e-4,0.007994709174312442,2.430512464714712e-4,3.9085135953402205e-5,0.6473455980831471,4.293203010003709e-5,7.157476731935175e-5,476484.94767984113,1.0585371513079604e-10,1.7348891380368905e-6,2.4998773364454156e-4,1.6863542740351005e-5,2.4829978846329163e-6,22.013582550809364,7.529509748941493e-10,1.5722911528450537e-6,0.011193491157329658,1.3494139251798201e-5,2.0911726720005184e-5,3.7170020548226465e-4,9.17392487370937e-5,3.396356865822347e-5,0.00638479241497205,2.1840914075352684e-4,3.002355874315232e-6,7.895586946962247e-6,2.4277618576914203e-5,1.5043402620780633e-5,4.101270207321822e-4,7.865835119320596e-5,1.2305059936360842e-6,0.01765680606254672,1.3733945613960423e-5,1.2998287673175036e-6,0.0032511539851746594,1.0495533368011204e-5,1.4699730148814702e-6,0.007666198038124335,1.2383382696268616e-5,1.7894981307092353e-5,0.00528885840994274,6.949956982089565e-5,1.5500889280482596e-6,0.2325190522130651,4.7989725909338e-6,2.2935954678466324e-6,191.8229941063818,5.34131992734463e-15,2.685573610387893e-4,0.003759404427130687,3.7336110323356894e-4,3.1545404688710916e-4,42111.958158539615,5.38454476416552e-6,1.94258240084257e-4,0.03334501748299541,0.00029539560860798204,4.655856101273753e-4,0.0010633326773280302,7.283763137600121e-4,6.176909903459807e-4,0.009006914944793247,9.91664364934818e-4,4.0609501440265456e-4,9.914420685907915e-5,4.6835592670954287e-4,4.0419890122335444e-4,0.002619924649243336,6.203274233210497e-4,2.1915694829840904e-4,0.02939461164645502,3.174376564858147e-4,2.2476763108792572e-4,2.7439086105102724,3.183098126969402e-4,1.9607167361697026e-4,0.04489069557234048,2.986871775354522e-4,3.664835478121649e-4,0.012165601599219056,5.890238299616985e-4,1.943322080580444e-4,2.850397051804399,1.7190216441723198e-4,3.2899673225325106e-4,6530118817.304347,3.649191028020047e-7
4,male,0,male_4,0,northeast,male_4_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.06176046744666187,0,1,1,0,1,1,1,1,1,1,8.390317336663418e-6,0,2.487045596620396e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8.376551844444032e-7,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,2.2703846538859305e-4,0,2.5259295797442744e-7,0,0,0,3.384746082551687e-7,0,2.564384582307853e-7,0,1.3605633381484628e-6,0,9.242984976826198e-8,0,1,1,1,1,0,0,1,1,smoothed,4.670497930064346e-5,0.001249219612319891,1.8517341659251473e-4,6.728127466663965e-5,269.4498598319576,1.9057146786994918e-7,3.6466812228323864e-5,0.019939563247719533,1.399256780472584e-4,1.392474960481137e-4,6.704286185918636e-4,4.7761947031178646e-4,2.6851598233032254e-4,0.0076196568269171015,7.856007267971002e-4,5.2820806221141347e-5,3.067711366859567e-5,2.779553391402226e-4,1.2012067908707751e-4,0.0011483584375534942,4.051402050358334e-4,4.162041350599198e-5,0.02274646974651464,1.5340563333511348e-4,3.927633629644723e-5,0.008331951974614466,1.5078492625370812e-4,3.554896131013362e-5,0.01713879989778492,1.3685333599117383e-4,1.126791093631539e-4,0.007994709174312442,3.738713974176373e-4,3.41874451734709e-5,0.6473455980831471,5.378094564776088e-5,6.356103577245224e-5,476484.94767984113,1.083078739521015e-10,1.6516990894133897e-6,2.4998773364454156e-4,4.30615678617431e-5,2.5009112518991097e-6,22.013582550809364,6.896467714071547e-10,7.874152950569146e-7,0.011193491157329658,3.238603444832637e-5,2.1436992522596695e-5,3.7170020548226465e-4,1.8620469869905934e-4,7.831648638725201e-5,0.00638479241497205,4.2738601773404994e-4,1.5095531076233266e-6,7.895586946962247e-6,6.244202787076351e-5,1.7567169077727662e-5,4.101270207321822e-4,1.5882414559162375e-4,1.667695719447e-6,0.01765680606254672,3.5971369762550655e-5,1.4646720784408752e-6,0.0032511539851746594,2.1080681870795834e-5,1.4356303427882364e-6,0.007666198038124335,3.232922895339744e-5,1.6085219161938312e-5,0.00528885840994274,1.465031637809762e-4,1.295187293853379e-6,0.2325190522130651,7.949978269756375e-6,2.5279892957955935e-6,191.8229941063818,3.962454481886037e-15,2.5946676020751025e-4,0.003759404427130687,4.921332776759277e-4,3.3551027793637695e-4,42111.958158539615,5.336766934434585e-6,2.004716592410317e-4,0.03334501748299541,3.791821282955721e-4,4.560162554010823e-4,0.0010633326773280302,9.581510481788339e-4,6.070202080802599e-4,0.009006914944793247,0.001345281358674594,3.1002930268773357e-4,9.914420685907915e-5,6.187094424466934e-4,3.888277986192111e-4,0.002619924649243336,8.321695864609821e-4,2.2066552020886702e-4,0.02939461164645502,4.115573824384509e-4,2.1582507682221106e-4,2.7439086105102724,4.209152673321721e-4,1.9727101907602833e-4,0.04489069557234048,3.7959315377084676e-4,3.8052101828090493e-4,0.012165601599219056,7.695447357899569e-4,1.9110182314507708e-4,2.850397051804399,1.9133538405703397e-4,3.287770126102059e-4,6530118817.304347,3.9321666817581954e-7
5,male,0,male_5,0,northeast,male_5_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.06110633806594849,0,1,1,0,1,1,1,1,1,1,4.208469393235957e-6,0,2.2185419693601517e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5.635681334799729e-7,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1.1281052192061004e-4,0,1.7272302487878145e-7,0,0,0,3.779367073077282e-7,0,2.08981748245203e-7,0,1.136175708662649e-6,0,8.915863141732291e-8,0,1,1,1,1,0,0,1,1,smoothed,4.879030026452369e-5,0.001249219612319891,2.5224899519392824e-4,6.300724028591919e-5,269.4498598319576,1.9414884060315281e-7,3.579737288427829e-5,0.019939563247719533,1.9118671621794848e-4,1.422601523263825e-4,6.704286185918636e-4,6.421129023177231e-4,2.68121936841145e-4,0.0076196568269171015,0.0010842009524064098,4.554699222856814e-5,3.067711366859567e-5,3.6141745627656064e-4,1.2307991528657367e-4,0.0011483584375534942,5.459190749843412e-4,4.211352905237021e-5,0.02274646974651464,2.0818947244617258e-4,4.069901534331841e-5,0.008331951974614466,2.070745920570743e-4,3.7310532583842005e-5,0.01713879989778492,1.857831649011571e-4,1.1506987123492732e-4,0.007994709174312442,5.054129122015539e-4,3.834311503745032e-5,0.6473455980831471,6.048962070857832e-5,4.970204152474125e-5,476484.94767984113,9.071375603881592e-11,1.6895338173009271e-6,2.4998773364454156e-4,7.33596552429046e-5,1.057855745503905e-6,22.013582550809364,6.96020911819637e-10,1.2872214464259083e-6,0.011193491157329658,5.4772809994701307e-005,2.020121377100954e-5,3.7170020548226465e-4,2.907787705868723e-4,7.79406046226739e-5,0.00638479241497205,6.324884798260628e-4,2.560167965056574e-6,7.895586946962247e-6,1.061212887881424e-4,1.7051061557108582e-5,4.101270207321822e-4,2.5469302930053293e-4,1.518674603952287e-6,0.01765680606254672,6.171279769478327e-5,1.5146933938153346e-6,0.0032511539851746594,3.083079914443738e-5,1.5254968886536938e-6,0.007666198038124335,5.640629324320006e-5,1.6424626748109748e-5,0.00528885840994274,2.2632160187950663e-4,1.1642407309976788e-6,0.2325190522130651,6.2531806005314315e-6,2.990766877820118e-6,191.8229941063818,5.542152103460478e-15,2.5752523488352846e-4,0.003759404427130687,6.059072637524955e-4,3.2048018038476257e-4,42111.958158539615,5.010592319912914e-6,1.9727954176587602e-4,0.03334501748299541,4.5761360747215266e-4,4.6315693643390107e-4,0.0010633326773280302,0.0011853171027743157,6.162191878673251e-4,0.009006914944793247,0.0016966397868996902,3.203012910377089e-4,9.914420685907915e-5,7.458603132803512e-4,4.239750840606577e-4,0.002619924649243336,0.0010321281463866018,2.209078698857037e-4,0.02939461164645502,5.019084166653402e-4,2.2288337788587363e-4,2.7439086105102724,5.077254205360831e-4,1.9918308736352667e-4,0.04489069557234048,4.5765632824024284e-4,3.6855686853230844e-4,0.012165601599219056,9.511571622665067e-4,1.9670127597021635e-4,2.850397051804399,2.0698765886115826e-4,3.1189013903293257e-4,6530118817.304347,3.5005403799712e-7
6,male,0,male_6,0,northeast,male_6_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.060501712612342946,0,1,1,0,1,1,1,1,1,1,2.362623868086015e-6,0,2.069515076992822e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4.1709208508271523e-7,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,6.347279966531657e-5,0,1.273019283549826e-7,0,0,0,4.3432986081234247e-7,0,1.8362447423938075e-7,0,1.005780995120721e-6,0,8.819043559909482e-8,0,1,1,1,1,0,0,1,1,smoothed,4.687283339519801e-5,0.001249219612319891,3.2058941299171724e-4,5.941107918749989e-5,269.4498598319576,1.9166917510403787e-7,3.966765065615202e-5,0.019939563247719533,2.4042298601809308e-4,2.1817850183621448e-4,6.704286185918636e-4,8.090068668650639e-4,2.6160344509675357e-4,0.0076196568269171015,0.0013592484957617138,6.258843766382007e-5,3.067711366859567e-5,4.388448394578128e-4,4.93726752433165e-5,0.0011483584375534942,6.914589615139989e-4,3.976579564386876e-5,0.02274646974651464,2.6124492647443536e-4,3.8873992884819276e-5,0.008331951974614466,2.61297974264107e-4,3.536169791987656e-5,0.01713879989778492,2.3558275480507274e-4,1.0901655671781101e-4,0.007994709174312442,6.344521394586088e-4,3.287232723655299e-5,0.6473455980831471,6.449515001660593e-5,6.250455992060845e-5,476484.94767984113,9.817874652855955e-11,1.917498528549976e-6,2.4998773364454156e-4,1.1068703602462441e-4,2.1511820196196918e-6,22.013582550809364,6.221392329668914e-10,1.6567869057109615e-6,0.011193491157329658,7.283265934140067e-5,4.856770525779497e-5,3.7170020548226465e-4,4.0791563613715523e-4,7.291320986119386e-5,0.00638479241497205,8.426752364705166e-4,2.7815676288671285e-6,7.895586946962247e-6,1.541358163853464e-4,1.602452351632617e-6,4.101270207321822e-4,3.4469104749826926e-4,1.2822449147882193e-6,0.01765680606254672,9.119831674501561e-5,1.4384284118277376e-6,0.0032511539851746594,4.0031524457643706e-5,1.2839152703316609e-6,0.007666198038124335,8.221600564975986e-5,1.616583278438821e-5,0.00528885840994274,3.17772295256651e-4,1.4881613114293762e-6,0.2325190522130651,8.422552785259485e-6,2.72882467348716e-6,191.8229941063818,6.259206898623294e-15,2.461782271159002e-4,0.003759404427130687,7.079486429441188e-4,3.062101983371976e-4,42111.958158539615,5.135529105291499e-6,1.9668400963606034e-4,0.03334501748299541,5.281343336342844e-4,5.765456870148217e-4,0.0010633326773280302,0.0014152952273869968,5.897653208348831e-4,0.009006914944793247,0.0020227121703312654,2.9809024007456693e-4,9.914420685907915e-5,8.758836470859925e-4,2.531323695290736e-4,0.002619924649243336,0.0012286602073415984,2.1653426905510225e-4,0.02939461164645502,5.812038810531062e-4,2.1569290728930585e-4,2.7439086105102724,5.96049473148852e-4,1.871872327753576e-4,0.04489069557234048,5.343518605265065e-4,3.673012238804234e-4,0.012165601599219056,0.0011144068261339664,1.9199097619576326e-4,2.850397051804399,2.191160205991699e-4,3.076123646285097e-4,6530118817.304347,3.888497461206748e-7
7,male,7,male_7,58029.57477945244,northeast,male_7_northeast,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0.05997691155436551,0,1,1,0,1,1,1,1,1,1,1.615411238055265e-6,0,2.0876099985597446e-6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3.647330523959387e-7,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,4.439197745390069e-5,0,1.069774627882083e-7,0,0,0,5.249387830606512e-7,0,1.8406555898514631e-7,0,9.86031824433043e-7,0,9.115211309163636e-8,0,1,1,1,1,0,0,1,1,smoothed,4.529263043693349e-5,0.001249219612319891,3.8755556353074305e-4,6.469236430979569e-5,269.4498598319576,1.6929739274825792e-7,3.818497588820864e-5,0.019939563247719533,2.90894727149483e-4,2.156152246523306e-4,6.704286185918636e-4,0.0010531998151678238,2.4779761036179145e-4,0.0076196568269171015,0.0016269739580371538,6.936893229480223e-5,3.067711366859567e-5,5.193248122022084e-4,4.7873478338603455e-5,0.0011483584375534942,7.611471902620766e-4,4.145753746873439e-5,0.02274646974651464,3.1435850858173124e-4,4.014997341543538e-5,0.008331951974614466,3.1254272046810127e-4,3.586129915810404e-5,0.01713879989778492,2.8271518651489354e-4,1.1010452012441235e-4,0.007994709174312442,7.601832186107391e-4,3.702371280066619e-5,0.6473455980831471,6.669082016483958e-5,6.711140356917152e-5,476484.94767984113,1.0588449858077522e-10,1.761257414345372e-6,2.4998773364454156e-4,1.4718397269626653e-4,2.282316805194308e-6,22.013582550809364,7.565107974436652e-10,1.6015937112052168e-6,0.011193491157329658,1.1097117211232573e-4,4.940249129362804e-5,3.7170020548226465e-4,5.813789322466434e-4,7.578411205315096e-5,0.00638479241497205,0.0010410040136293462,2.9546167339197157e-6,7.895586946962247e-6,2.057066771210356e-4,1.8676459452161813e-6,4.101270207321822e-4,3.98966832211428e-4,1.4786868945858184e-6,0.01765680606254672,1.2122060861581155e-4,1.5697225285791469e-6,0.0032511539851746594,4.03529821877645e-5,1.2203541444855249e-6,0.007666198038124335,1.093630694766132e-4,1.534704520160836e-5,0.00528885840994274,4.0574680555437956e-4,1.346905305665155e-6,0.2325190522130651,4.874494427824457e-6,2.1186299997026613e-6,191.8229941063818,4.1597310605735295e-15,2.4370452742327928e-4,0.003759404427130687,8.017720181641225e-4,3.177004139089656e-4,42111.958158539615,4.7824763243310235e-6,1.9549196986451037e-4,0.03334501748299541,5.967887015933187e-4,5.867898647384183e-4,0.0010633326773280302,0.0017277551133929225,6.131590154156111e-4,0.009006914944793247,0.0023245522661779158,3.105327427689418e-4,9.914420685907915e-5,9.992828865815493e-4,2.587101710312062e-4,0.002619924649243336,0.001317810483658714,2.1814750296267384e-4,0.02939461164645502,6.547896106795388e-4,2.0929413133861862e-4,2.7439086105102724,6.746585762714483e-4,2.0530997863758566e-4,0.04489069557234048,6.020373804640205e-4,3.512375826806893e-4,0.012165601599219056,0.0012693185212158235,1.8661619173964471e-4,2.850397051804399,2.2405768926646357e-4,3.2544145816494087e-4,6530118817.304347,3.8514070804434296e-7
