lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000082,E07000187,E07000188
E06000022,0.8718868651206185,0.08710509647377009,0.008806196775535442,0.011751386438374216,0.004032088386740014,0,0.01641836680496176,0
E06000024,0,0.25232504107577863,0.7000223392764526,0,0,0,0,0.04765261964776875
E06000025,0.0429365148275308,0.08680945070560972,0,0.8414071972194517,0,0.028846837247407796,0,0
