lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000082
E06000022,0.9418582792354171,0,0.03148410544528648,0,0.026657615319296415,0
E06000024,0,0.040603186343651496,0.9593968136563485,0,0,0
E06000025,0,0,0,0.9453641165581729,0,0.054635883441827036
