lahome,E06000022,E06000023,E06000024,E06000025,E07000187
E06000022,0.8483148844228828,0,0,0,0.15168511557711722
E06000024,0,0.17478551866682582,0.8252144813331742,0,0
E06000025,0,0.20777630266393393,0,0.7922236973360661,0
