lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000079,E07000082,E07000187,E07000188
E06000022,0.6262538503249033,0.10486826836006616,0.06802391588503129,0.13438532261142314,0.017965444526089017,0,0,0.04850319829248712,0
E06000024,0.060498901863253005,0.18149454502750959,0.640282644345886,0.0735733236527246,0,0,0.0018278809940659993,0.0017675194519895243,0.040555184664571295
E06000025,0.012583142854213608,0.15380438279271888,0.05021370774351397,0.7041342082335919,0.025946243073480195,0.009508760825297889,0.04380955447718348,0,0
