lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000078,E07000081,E07000082,E07000083,E07000187,E07000188,E07000189,E07000190,E07000191
E06000022,0.19203346893813067,0.041749790891113366,0.003752050164819521,0.1869893930150133,0.151420015279976,0.007974261099960935,0.009936160417890923,0,0,0.2376779953108339,0.07854386937340004,0.07220465537844696,0.017718340130414376,0
E06000024,0.1590288114273668,0.019204830160389055,0.31726633171903995,0.04764128626405104,0.017289302571699368,0,0,0,0,0.15690241368017066,0.22263226712398287,0,0.053999620328077,0.006035136725223279
E06000025,0,0.04817573875136824,0,0.5159627069367939,0,0,0.030290590851267823,0.38919872064407207,0.016372242816497868,0,0,0,0,0
