lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000079,E07000081,E07000082,E07000187,E07000188
E06000022,0.5185465862463995,0.0595923020049496,0.016530898103604336,0.15262880768283518,0.12157826743757966,0.001733023854502351,0,0,0.12910272536589082,2.873893042385515e-4
E06000023,0.12313032303620942,0.3224091275420776,0.1895639209378252,0.3521694070611635,0.005033818362387015,0,0,8.869697145567015e-4,0.006806433345780453,0
E06000024,0.0019524080921684106,0.12515185159188122,0.7110139432050606,0.10921634329493977,0,0,0,0,0.005011182201300825,0.04765427161464921
E06000025,0.10598955329399622,0.1275451730462169,0.03818220566968832,0.6672837554013238,0.029434641076027328,0.004167844502818032,0.0016368355960168304,0.024337083578697953,0.001422907835214587,0
