latravel,motorway,rural_other,rural_primary,urban_other,urban_primary
E06000001,0,0.007115049474808161,0.7619971834721391,0.09194719656453504,0.1389405704885178
E06000002,0,0.05005302947910223,0.4162335151137338,0.1953348429206108,0.3383786124865532
E06000003,0,0.0726027552607061,0.7469709403816891,0.06848721535801819,0.11193908899958668
E06000004,0,0.13198074898288853,0.6559552800797357,0.09167308553613887,0.12039088540123688
E06000005,0.06842601513900141,0.32989990201261216,0.3625324094557194,0.08147344546732392,0.15766822792534307
E06000006,0.4907816145522306,0.19525085121666017,0.2694748734977234,0.007216710822804587,0.0372759499105812
E06000007,0.17704158733608744,0.07482970117955734,0.39032363141891546,0.08058792174500307,0.27721715832043664
E06000008,0.2333491646837401,0.0266125935578239,0.12048343800207499,0.1546050036611651,0.46494980009519593
E06000009,0,0.08017339454765264,0.029711045144749457,0.49159036936025197,0.3985251909473459
E06000010,0,0.007455374579720423,0.06734685300486308,0.09930666994994537,0.8258911024654711
E06000011,0.0017459363035682645,0.28574455102219737,0.512658167725159,0.0978572822290051,0.1019940627200703
E06000012,0,0.1510796796330326,0.4385305950359295,0.1359340997596895,0.27445562557134845
E06000013,0.21870371843295247,0.19614994725730153,0.3473283124608789,0.11066381968416138,0.12715420216470566
E06000014,0,0.12246818170476749,0.5830467415317693,0.07321424127814088,0.2212708354853224
E06000015,0,0.02013872301314989,0.30737711981303706,0.2188312097051658,0.4536529474686472
E06000016,0,0.012556026249354259,0.13841788643483371,0.15256987979826303,0.6964562075175491
E06000017,0,0.23519755821656194,0.6276097457865311,0.09216836952405824,0.045024326472848854
E06000018,3.548559137651794e-4,9.046845865155642e-4,0.1077151906010789,0.11660586085297667,0.7744194080456637
E06000019,0.004368276828346652,0.20158700480777392,0.5965962180922152,0.05074285355459772,0.1467056467170665
E06000020,0,0.2642992161100623,0.4819411578452165,0.11092231542945401,0.14283731061526725
E06000021,0.004769136721413427,0.003414797197393773,0.1914549998213671,0.12107480910086972,0.679286257158956
E06000022,0,0.3577533517359422,0.25907922947032386,0.21216809794438052,0.17099932084935343
