city,var,name,value,scenario,type
leeds,median,colon_cancer,0,car_20p_red_scen,deaths
leeds,median,endo_cancer,0,car_20p_red_scen,deaths
leeds,median,liver_cancer,0,car_20p_red_scen,deaths
leeds,median,CVD,0,car_20p_red_scen,deaths
leeds,median,myeloma,0,car_20p_red_scen,deaths
leeds,median,Parkinson,0,car_20p_red_scen,deaths
leeds,median,head_neck_cancer,0,car_20p_red_scen,deaths
leeds,median,inj,-0.0013121729306269645,car_20p_red_scen,deaths
liverpool,lower,all_cause,0,car_20p_red_scen,deaths
liverpool,lower,IHD,8.894897886572263e-8,car_20p_red_scen,deaths
liverpool,lower,total_cancer,0,car_20p_red_scen,deaths
liverpool,lower,lung_cancer,0,car_20p_red_scen,deaths
liverpool,lower,COPD,0,car_20p_red_scen,deaths
liverpool,lower,stroke,2.102430409553444e-7,car_20p_red_scen,deaths
liverpool,lower,T2D,0,car_20p_red_scen,deaths
liverpool,lower,LRI,5.498664148062853e-7,car_20p_red_scen,deaths
liverpool,lower,breast_cancer,0,car_20p_red_scen,deaths
liverpool,lower,colon_cancer,0,car_20p_red_scen,deaths
liverpool,lower,endo_cancer,0,car_20p_red_scen,deaths
liverpool,lower,liver_cancer,0,car_20p_red_scen,deaths
liverpool,lower,CVD,0,car_20p_red_scen,deaths
liverpool,lower,myeloma,0,car_20p_red_scen,deaths
liverpool,lower,Parkinson,0,car_20p_red_scen,deaths
liverpool,lower,head_neck_cancer,0,car_20p_red_scen,deaths
liverpool,lower,inj,-6.429125712083524e-4,car_20p_red_scen,deaths
nottingham,lower,all_cause,0,car_20p_red_scen,deaths
nottingham,lower,IHD,4.056697523679923e-6,car_20p_red_scen,deaths
nottingham,lower,total_cancer,0,car_20p_red_scen,deaths
nottingham,lower,lung_cancer,1.1414707514906266e-6,car_20p_red_scen,deaths
nottingham,lower,COPD,3.234167129223442e-6,car_20p_red_scen,deaths
nottingham,lower,stroke,9.831196619456032e-6,car_20p_red_scen,deaths
nottingham,lower,T2D,0,car_20p_red_scen,deaths
nottingham,lower,LRI,2.3355386846675857e-5,car_20p_red_scen,deaths
nottingham,lower,breast_cancer,0,car_20p_red_scen,deaths
nottingham,lower,colon_cancer,0,car_20p_red_scen,deaths
nottingham,lower,endo_cancer,0,car_20p_red_scen,deaths
nottingham,lower,liver_cancer,0,car_20p_red_scen,deaths
nottingham,lower,CVD,0,car_20p_red_scen,deaths
nottingham,lower,myeloma,0,car_20p_red_scen,deaths
nottingham,lower,Parkinson,0,car_20p_red_scen,deaths
nottingham,lower,head_neck_cancer,0,car_20p_red_scen,deaths
nottingham,lower,inj,-7.588695857379881e-4,car_20p_red_scen,deaths
bristol,lower,all_cause,0,car_20p_red_scen,deaths
bristol,lower,IHD,2.366138838625902e-6,car_20p_red_scen,deaths
bristol,lower,total_cancer,0,car_20p_red_scen,deaths
bristol,lower,lung_cancer,3.8864116189990664e-7,car_20p_red_scen,deaths
bristol,lower,COPD,1.5545646475996266e-6,car_20p_red_scen,deaths
bristol,lower,stroke,7.57850265704818e-6,car_20p_red_scen,deaths
bristol,lower,T2D,0,car_20p_red_scen,deaths
bristol,lower,LRI,9.91034962844762e-6,car_20p_red_scen,deaths
bristol,lower,breast_cancer,0,car_20p_red_scen,deaths
bristol,lower,colon_cancer,0,car_20p_red_scen,deaths
bristol,lower,endo_cancer,0,car_20p_red_scen,deaths
bristol,lower,liver_cancer,0,car_20p_red_scen,deaths
bristol,lower,CVD,0,car_20p_red_scen,deaths
bristol,lower,myeloma,0,car_20p_red_scen,deaths
bristol,lower,Parkinson,0,car_20p_red_scen,deaths
bristol,lower,head_neck_cancer,0,car_20p_red_scen,deaths
bristol,lower,inj,-2.7731580385170014e-4,car_20p_red_scen,deaths
northeast,lower,all_cause,0,car_20p_red_scen,deaths
northeast,lower,IHD,1.4357684053034133e-6,car_20p_red_scen,deaths
northeast,lower,total_cancer,0,car_20p_red_scen,deaths
northeast,lower,lung_cancer,3.720741294231407e-7,car_20p_red_scen,deaths
northeast,lower,COPD,1.0418075623847938e-6,car_20p_red_scen,deaths
northeast,lower,stroke,3.466855417683852e-6,car_20p_red_scen,deaths
northeast,lower,T2D,0,car_20p_red_scen,deaths
northeast,lower,LRI,7.515897414347442e-6,car_20p_red_scen,deaths
northeast,lower,breast_cancer,0,car_20p_red_scen,deaths
northeast,lower,colon_cancer,0,car_20p_red_scen,deaths
northeast,lower,endo_cancer,0,car_20p_red_scen,deaths
northeast,lower,liver_cancer,0,car_20p_red_scen,deaths
northeast,lower,CVD,0,car_20p_red_scen,deaths
northeast,lower,myeloma,0,car_20p_red_scen,deaths
northeast,lower,Parkinson,0,car_20p_red_scen,deaths
northeast,lower,head_neck_cancer,0,car_20p_red_scen,deaths
northeast,lower,inj,-3.8470158867975017e-4,car_20p_red_scen,deaths
greatermanchester,lower,all_cause,0,car_20p_red_scen,deaths
greatermanchester,lower,IHD,4.69628881478051e-6,car_20p_red_scen,deaths
greatermanchester,lower,total_cancer,0,car_20p_red_scen,deaths
greatermanchester,lower,lung_cancer,1.0286222280143637e-6,car_20p_red_scen,deaths
greatermanchester,lower,COPD,3.6397401914354404e-6,car_20p_red_scen,deaths
greatermanchester,lower,stroke,1.1175212531504464e-5,car_20p_red_scen,deaths
greatermanchester,lower,T2D,0,car_20p_red_scen,deaths
greatermanchester,lower,LRI,2.4877763840437887e-5,car_20p_red_scen,deaths
greatermanchester,lower,breast_cancer,0,car_20p_red_scen,deaths
greatermanchester,lower,colon_cancer,0,car_20p_red_scen,deaths
greatermanchester,lower,endo_cancer,0,car_20p_red_scen,deaths
greatermanchester,lower,liver_cancer,0,car_20p_red_scen,deaths
greatermanchester,lower,CVD,0,car_20p_red_scen,deaths
greatermanchester,lower,myeloma,0,car_20p_red_scen,deaths
greatermanchester,lower,Parkinson,0,car_20p_red_scen,deaths
greatermanchester,lower,head_neck_cancer,0,car_20p_red_scen,deaths
greatermanchester,lower,inj,-6.261919290849091e-4,car_20p_red_scen,deaths
sheffield,lower,all_cause,0,car_20p_red_scen,deaths
sheffield,lower,IHD,7.4592326182958365e-6,car_20p_red_scen,deaths
sheffield,lower,total_cancer,0,car_20p_red_scen,deaths
sheffield,lower,lung_cancer,1.8659515072131831e-6,car_20p_red_scen,deaths
sheffield,lower,COPD,6.064342398442845e-6,car_20p_red_scen,deaths
sheffield,lower,stroke,1.55404490723294e-5,car_20p_red_scen,deaths
sheffield,lower,T2D,0,car_20p_red_scen,deaths
sheffield,lower,LRI,3.7675756167701474e-5,car_20p_red_scen,deaths
sheffield,lower,breast_cancer,0,car_20p_red_scen,deaths
sheffield,lower,colon_cancer,0,car_20p_red_scen,deaths
sheffield,lower,endo_cancer,0,car_20p_red_scen,deaths
sheffield,lower,liver_cancer,0,car_20p_red_scen,deaths
sheffield,lower,CVD,0,car_20p_red_scen,deaths
sheffield,lower,myeloma,0,car_20p_red_scen,deaths
sheffield,lower,Parkinson,0,car_20p_red_scen,deaths
sheffield,lower,head_neck_cancer,0,car_20p_red_scen,deaths
sheffield,lower,inj,-8.074547482091033e-4,car_20p_red_scen,deaths
westmidlands,lower,all_cause,0,car_20p_red_scen,deaths
westmidlands,lower,IHD,1.780836371021401e-6,car_20p_red_scen,deaths
westmidlands,lower,total_cancer,0,car_20p_red_scen,deaths
westmidlands,lower,lung_cancer,4.1471531927895644e-7,car_20p_red_scen,deaths
westmidlands,lower,COPD,1.2441459578368694e-6,car_20p_red_scen,deaths
westmidlands,lower,stroke,4.3423133430384855e-6,car_20p_red_scen,deaths
westmidlands,lower,T2D,0,car_20p_red_scen,deaths
westmidlands,lower,LRI,1.1404671280171303e-5,car_20p_red_scen,deaths
westmidlands,lower,breast_cancer,0,car_20p_red_scen,deaths
westmidlands,lower,colon_cancer,0,car_20p_red_scen,deaths
westmidlands,lower,endo_cancer,0,car_20p_red_scen,deaths
westmidlands,lower,liver_cancer,0,car_20p_red_scen,deaths
westmidlands,lower,CVD,0,car_20p_red_scen,deaths
westmidlands,lower,myeloma,0,car_20p_red_scen,deaths
westmidlands,lower,Parkinson,0,car_20p_red_scen,deaths
westmidlands,lower,head_neck_cancer,0,car_20p_red_scen,deaths
westmidlands,lower,inj,-9.017804288321724e-4,car_20p_red_scen,deaths
leeds,lower,all_cause,0,car_20p_red_scen,deaths
leeds,lower,IHD,3.2454710644711123e-6,car_20p_red_scen,deaths
leeds,lower,total_cancer,0,car_20p_red_scen,deaths
leeds,lower,lung_cancer,6.323553936505319e-7,car_20p_red_scen,deaths
leeds,lower,COPD,2.213243877776862e-6,car_20p_red_scen,deaths
leeds,lower,stroke,7.3402822164924486e-6,car_20p_red_scen,deaths
leeds,lower,T2D,0,car_20p_red_scen,deaths
leeds,lower,LRI,1.7811343587823313e-5,car_20p_red_scen,deaths
leeds,lower,breast_cancer,0,car_20p_red_scen,deaths
leeds,lower,colon_cancer,0,car_20p_red_scen,deaths
leeds,lower,endo_cancer,0,car_20p_red_scen,deaths
leeds,lower,liver_cancer,0,car_20p_red_scen,deaths
leeds,lower,CVD,0,car_20p_red_scen,deaths
leeds,lower,myeloma,0,car_20p_red_scen,deaths
leeds,lower,Parkinson,0,car_20p_red_scen,deaths
leeds,lower,head_neck_cancer,0,car_20p_red_scen,deaths
leeds,lower,inj,-9.599769413871072e-4,car_20p_red_scen,deaths
liverpool,upper,all_cause,0,car_20p_red_scen,deaths
liverpool,upper,IHD,1.1805955376723184e-7,car_20p_red_scen,deaths
liverpool,upper,total_cancer,0,car_20p_red_scen,deaths
liverpool,upper,lung_cancer,0,car_20p_red_scen,deaths
liverpool,upper,COPD,0,car_20p_red_scen,deaths
liverpool,upper,stroke,3.396233738509409e-7,car_20p_red_scen,deaths
liverpool,upper,T2D,0,car_20p_red_scen,deaths
liverpool,upper,LRI,8.24799622209428e-7,car_20p_red_scen,deaths
liverpool,upper,breast_cancer,0,car_20p_red_scen,deaths
liverpool,upper,colon_cancer,0,car_20p_red_scen,deaths
liverpool,upper,endo_cancer,0,car_20p_red_scen,deaths
liverpool,upper,liver_cancer,0,car_20p_red_scen,deaths
liverpool,upper,CVD,0,car_20p_red_scen,deaths
liverpool,upper,myeloma,0,car_20p_red_scen,deaths
liverpool,upper,Parkinson,0,car_20p_red_scen,deaths
liverpool,upper,head_neck_cancer,0,car_20p_red_scen,deaths
liverpool,upper,inj,-3.9631400965050743e-4,car_20p_red_scen,deaths
nottingham,upper,all_cause,0,car_20p_red_scen,deaths
nottingham,upper,IHD,5.111998424322727e-6,car_20p_red_scen,deaths
nottingham,upper,total_cancer,0,car_20p_red_scen,deaths
nottingham,upper,lung_cancer,1.1414707514906266e-6,car_20p_red_scen,deaths
nottingham,upper,COPD,3.6717309172948485e-6,car_20p_red_scen,deaths
nottingham,upper,stroke,1.537404429801787e-5,car_20p_red_scen,deaths
nottingham,upper,T2D,0,car_20p_red_scen,deaths
nottingham,upper,LRI,2.6729440097405507e-5,car_20p_red_scen,deaths
nottingham,upper,breast_cancer,0,car_20p_red_scen,deaths
nottingham,upper,colon_cancer,0,car_20p_red_scen,deaths
nottingham,upper,endo_cancer,0,car_20p_red_scen,deaths
nottingham,upper,liver_cancer,0,car_20p_red_scen,deaths
nottingham,upper,CVD,0,car_20p_red_scen,deaths
nottingham,upper,myeloma,0,car_20p_red_scen,deaths
nottingham,upper,Parkinson,0,car_20p_red_scen,deaths
nottingham,upper,head_neck_cancer,0,car_20p_red_scen,deaths
nottingham,upper,inj,-5.08223390948666e-4,car_20p_red_scen,deaths
bristol,upper,all_cause,0,car_20p_red_scen,deaths
bristol,upper,IHD,3.2451537018642205e-6,car_20p_red_scen,deaths
bristol,upper,total_cancer,0,car_20p_red_scen,deaths
bristol,upper,lung_cancer,9.778897470746178e-7,car_20p_red_scen,deaths
bristol,upper,COPD,1.8071814028345658e-6,car_20p_red_scen,deaths
bristol,upper,stroke,1.1985007595648589e-5,car_20p_red_scen,deaths
bristol,upper,T2D,0,car_20p_red_scen,deaths
bristol,upper,LRI,1.3691027990165093e-5,car_20p_red_scen,deaths
bristol,upper,breast_cancer,0,car_20p_red_scen,deaths
bristol,upper,colon_cancer,0,car_20p_red_scen,deaths
bristol,upper,endo_cancer,0,car_20p_red_scen,deaths
bristol,upper,liver_cancer,0,car_20p_red_scen,deaths
bristol,upper,CVD,0,car_20p_red_scen,deaths
bristol,upper,myeloma,0,car_20p_red_scen,deaths
bristol,upper,Parkinson,0,car_20p_red_scen,deaths
bristol,upper,head_neck_cancer,0,car_20p_red_scen,deaths
bristol,upper,inj,-1.7486897651052715e-4,car_20p_red_scen,deaths
northeast,upper,all_cause,0,car_20p_red_scen,deaths
northeast,upper,IHD,1.8249141712530275e-6,car_20p_red_scen,deaths
northeast,upper,total_cancer,0,car_20p_red_scen,deaths
northeast,upper,lung_cancer,4.4648895530776883e-7,car_20p_red_scen,deaths
northeast,upper,COPD,1.19063721415405e-6,car_20p_red_scen,deaths
northeast,upper,stroke,5.433595492387582e-6,car_20p_red_scen,deaths
northeast,upper,T2D,0,car_20p_red_scen,deaths
northeast,upper,LRI,8.721417593678416e-6,car_20p_red_scen,deaths
northeast,upper,breast_cancer,0,car_20p_red_scen,deaths
northeast,upper,colon_cancer,0,car_20p_red_scen,deaths
northeast,upper,endo_cancer,0,car_20p_red_scen,deaths
northeast,upper,liver_cancer,0,car_20p_red_scen,deaths
northeast,upper,CVD,0,car_20p_red_scen,deaths
northeast,upper,myeloma,0,car_20p_red_scen,deaths
northeast,upper,Parkinson,0,car_20p_red_scen,deaths
northeast,upper,head_neck_cancer,0,car_20p_red_scen,deaths
northeast,upper,inj,-2.4970838147597187e-4,car_20p_red_scen,deaths
greatermanchester,upper,all_cause,0,car_20p_red_scen,deaths
greatermanchester,upper,IHD,5.948089485479437e-6,car_20p_red_scen,deaths
greatermanchester,upper,total_cancer,0,car_20p_red_scen,deaths
greatermanchester,upper,lung_cancer,1.2106092375861356e-6,car_20p_red_scen,deaths
greatermanchester,upper,COPD,4.086329796765658e-6,car_20p_red_scen,deaths
greatermanchester,upper,stroke,1.7484250676633287e-5,car_20p_red_scen,deaths
greatermanchester,upper,T2D,0,car_20p_red_scen,deaths
greatermanchester,upper,LRI,2.8628046013390707e-5,car_20p_red_scen,deaths
greatermanchester,upper,breast_cancer,0,car_20p_red_scen,deaths
greatermanchester,upper,colon_cancer,0,car_20p_red_scen,deaths
greatermanchester,upper,endo_cancer,0,car_20p_red_scen,deaths
greatermanchester,upper,liver_cancer,0,car_20p_red_scen,deaths
greatermanchester,upper,CVD,0,car_20p_red_scen,deaths
greatermanchester,upper,myeloma,0,car_20p_red_scen,deaths
greatermanchester,upper,Parkinson,0,car_20p_red_scen,deaths
greatermanchester,upper,head_neck_cancer,0,car_20p_red_scen,deaths
greatermanchester,upper,inj,-3.9887823544283425e-4,car_20p_red_scen,deaths
sheffield,upper,all_cause,0,car_20p_red_scen,deaths
sheffield,upper,IHD,9.499888408782411e-6,car_20p_red_scen,deaths
sheffield,upper,total_cancer,0,car_20p_red_scen,deaths
sheffield,upper,lung_cancer,2.0680962538279442e-6,car_20p_red_scen,deaths
sheffield,upper,COPD,6.9351197684756645e-6,car_20p_red_scen,deaths
sheffield,upper,stroke,2.4312707861509812e-5,car_20p_red_scen,deaths
sheffield,upper,T2D,0,car_20p_red_scen,deaths
sheffield,upper,LRI,4.327406803039672e-5,car_20p_red_scen,deaths
sheffield,upper,breast_cancer,0,car_20p_red_scen,deaths
sheffield,upper,colon_cancer,0,car_20p_red_scen,deaths
sheffield,upper,endo_cancer,0,car_20p_red_scen,deaths
sheffield,upper,liver_cancer,0,car_20p_red_scen,deaths
sheffield,upper,CVD,0,car_20p_red_scen,deaths
sheffield,upper,myeloma,0,car_20p_red_scen,deaths
sheffield,upper,Parkinson,0,car_20p_red_scen,deaths
sheffield,upper,head_neck_cancer,0,car_20p_red_scen,deaths
sheffield,upper,inj,-5.17173596905276e-4,car_20p_red_scen,deaths
westmidlands,upper,all_cause,0,car_20p_red_scen,deaths
westmidlands,upper,IHD,2.2748355013389815e-6,car_20p_red_scen,deaths
westmidlands,upper,total_cancer,0,car_20p_red_scen,deaths
westmidlands,upper,lung_cancer,5.494977980446172e-7,car_20p_red_scen,deaths
westmidlands,upper,COPD,1.4515036174763475e-6,car_20p_red_scen,deaths
westmidlands,upper,stroke,6.798281858827247e-6,car_20p_red_scen,deaths
westmidlands,upper,T2D,0,car_20p_red_scen,deaths
westmidlands,upper,LRI,1.3123910228770386e-5,car_20p_red_scen,deaths
westmidlands,upper,breast_cancer,0,car_20p_red_scen,deaths
westmidlands,upper,colon_cancer,0,car_20p_red_scen,deaths
westmidlands,upper,endo_cancer,0,car_20p_red_scen,deaths
westmidlands,upper,liver_cancer,0,car_20p_red_scen,deaths
westmidlands,upper,CVD,0,car_20p_red_scen,deaths
westmidlands,upper,myeloma,0,car_20p_red_scen,deaths
westmidlands,upper,Parkinson,0,car_20p_red_scen,deaths
westmidlands,upper,head_neck_cancer,0,car_20p_red_scen,deaths
westmidlands,upper,inj,-5.700319315163941e-4,car_20p_red_scen,deaths
leeds,upper,all_cause,0,car_20p_red_scen,deaths
leeds,upper,IHD,4.093571239484767e-6,car_20p_red_scen,deaths
leeds,upper,total_cancer,0,car_20p_red_scen,deaths
leeds,upper,lung_cancer,8.431405248673759e-7,car_20p_red_scen,deaths
leeds,upper,COPD,2.5294215746021278e-6,car_20p_red_scen,deaths
leeds,upper,stroke,1.1489339541988709e-5,car_20p_red_scen,deaths
leeds,upper,T2D,0,car_20p_red_scen,deaths
leeds,upper,LRI,2.051373296127691e-5,car_20p_red_scen,deaths
leeds,upper,breast_cancer,0,car_20p_red_scen,deaths
leeds,upper,colon_cancer,0,car_20p_red_scen,deaths
leeds,upper,endo_cancer,0,car_20p_red_scen,deaths
leeds,upper,liver_cancer,0,car_20p_red_scen,deaths
leeds,upper,CVD,0,car_20p_red_scen,deaths
leeds,upper,myeloma,0,car_20p_red_scen,deaths
leeds,upper,Parkinson,0,car_20p_red_scen,deaths
leeds,upper,head_neck_cancer,0,car_20p_red_scen,deaths
leeds,upper,inj,-6.2540526309781e-4,car_20p_red_scen,deaths
liverpool,median,all_cause,0,car_20p_red_scen,ylls
liverpool,median,IHD,4.147852609924765e-6,car_20p_red_scen,ylls
liverpool,median,total_cancer,0,car_20p_red_scen,ylls
liverpool,median,lung_cancer,9.210262448005278e-7,car_20p_red_scen,ylls
liverpool,median,COPD,3.4366650925392835e-6,car_20p_red_scen,ylls
liverpool,median,stroke,9.462149783611394e-6,car_20p_red_scen,ylls
liverpool,median,T2D,0,car_20p_red_scen,ylls
liverpool,median,LRI,3.773134820775895e-5,car_20p_red_scen,ylls
liverpool,median,breast_cancer,0,car_20p_red_scen,ylls
liverpool,median,colon_cancer,0,car_20p_red_scen,ylls
liverpool,median,endo_cancer,0,car_20p_red_scen,ylls
liverpool,median,liver_cancer,0,car_20p_red_scen,ylls
liverpool,median,CVD,0,car_20p_red_scen,ylls
liverpool,median,myeloma,0,car_20p_red_scen,ylls
liverpool,median,Parkinson,0,car_20p_red_scen,ylls
liverpool,median,head_neck_cancer,0,car_20p_red_scen,ylls
liverpool,median,inj,-0.04718406944048327,car_20p_red_scen,ylls
nottingham,median,all_cause,0,car_20p_red_scen,ylls
nottingham,median,IHD,1.7120438593349927e-4,car_20p_red_scen,ylls
nottingham,median,total_cancer,0,car_20p_red_scen,ylls
nottingham,median,lung_cancer,3.540461780873427e-5,car_20p_red_scen,ylls
nottingham,median,COPD,1.4065325699654424e-4,car_20p_red_scen,ylls
nottingham,median,stroke,4.2366246486060633e-4,car_20p_red_scen,ylls
