latravel,motorway,other
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0,1
E06000006,0.027896496445421075,0.972103503554579
E06000007,0,1
E06000008,0.018707136603535776,0.9812928633964643
E06000009,0,1
E06000010,0,1
E06000011,0,1
E06000012,0,1
E06000013,1.4951214987505041e-4,0.999850487850125
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,0,1
E06000019,7.113360746962101e-4,0.9992886639253038
E06000020,0.05061074696781687,0.9493892530321831
E06000021,6.574278489665128e-4,0.9993425721510335
E06000022,0,1
E06000023,0.002733233303207289,0.9972667666967927
E06000024,0,1
E06000025,0.00731275478782783,0.9926872452121722
E06000026,0,1
E06000027,0,1
E06000028,0,1
E06000029,0,1
E06000030,0,1
E06000031,2.2755899332189223e-4,0.9997724410066781
E06000032,0.008302238129758277,0.9916977618702417
E06000033,0,1
E06000034,0,1
E06000035,0,1
E06000036,0,1
E06000037,0,1
E06000038,0,1
E06000039,0.0019871780457229875,0.998012821954277
E06000040,0.02555861167224266,0.9744413883277574
E06000041,0.001603606152212588,0.9983963938477874
E06000042,0,1
E06000043,0.002986985982233688,0.9970130140177663
E06000044,0.04648413094287976,0.9535158690571203
E06000045,0.003050874903429879,0.9969491250965701
E06000046,0,1
E06000047,6.901608782617634e-4,0.9993098391217382
E06000049,0,1
E06000050,2.1117016988212386e-4,0.9997888298301179
E06000051,0.0022730076044704525,0.9977269923955295
E06000052,0,1
E06000054,0,1
E06000055,0,1
E06000056,0.0011314322636458822,0.9988685677363541
E06000057,0,1
E07000004,0,1
E07000005,0,1
E07000006,0.004791790498347398,0.9952082095016526
E07000007,0.0025584840860494746,0.9974415159139505
E07000008,0.004085402251580957,0.9959145977484191
E07000009,0,1
E07000010,0,1
E07000011,0.001590375472861994,0.998409624527138
E07000012,0.00837328733673291,0.9916267126632671
E07000026,0,1
E07000027,0,1
E07000028,0.0048383737564743935,0.9951616262435256
E07000029,0,1
E07000030,0.01979393063132876,0.9802060693686713
E07000031,0,1
E07000032,0,1
E07000033,0.001190016728701658,0.9988099832712983
E07000034,0.0014761740171199474,0.99852382598288
E07000035,0,1
E07000036,0,1
E07000037,0,1
E07000038,6.346248833813844e-4,0.9993653751166186
E07000039,0,1
E07000040,0.0015492736067120759,0.9984507263932879
E07000041,4.1867125616966243e-4,0.9995813287438303
E07000042,0.0016331197440192658,0.9983668802559807
E07000043,0,1
E07000044,0,1
E07000045,6.27471698117214e-4,0.9993725283018828
E07000046,0,1
E07000047,0,1
E07000048,0,1
E07000049,0,1
E07000050,0,1
E07000051,0,1
E07000052,0,1
E07000053,0,1
E07000061,0,1
E07000062,0,1
E07000063,0,1
E07000064,0,1
E07000065,0,1
E07000066,0,1
E07000067,0,1
E07000068,1.7232310266748998e-4,0.9998276768973325
E07000070,0,1
E07000071,0,1
E07000072,0,1
E07000073,0,1
E07000074,0,1
