latravel,motorway,other
E07000033,0.2724186656914983,0.7275813343085017
E07000034,0.065592805035545,0.934407194964455
E07000035,0,1
E07000036,0.11029466918364503,0.88970533081635494
E07000037,0,1
E07000038,0.09811396297892483,0.9018860370210752
E07000039,0,1
E07000040,0.05361815118391206,0.9463818488160879
E07000041,0.04447143109194562,0.9555285689080544
E07000042,0.08208688332913158,0.9179131166708684
E07000043,0,1
E07000044,0,1
E07000045,0.015506545901472112,0.9844934540985278
E07000046,0,1
E07000047,0,1
E07000048,0,1
E07000049,0,1
E07000050,0,1
E07000051,0,1
E07000052,0,1
E07000053,0,1
E07000061,0,1
E07000062,0,1
E07000063,0,1
E07000064,0,1
E07000065,0,1
E07000066,0,1
E07000067,0,1
E07000068,0.04224878650270839,0.9577512134972916
E07000069,0,1
E07000070,0,1
E07000071,0,1
E07000072,0.4600668489048166,0.5399331510951835
E07000073,0.1422061416268701,0.8577938583731299
E07000074,0,1
E07000075,0,1
E07000076,0,1
E07000077,0.17647307964150769,0.8235269203584923
E07000078,0,1
E07000079,0,1
E07000080,0.013257779049679447,0.9867422209503206
E07000081,0.02005584318703628,0.9799441568129638
E07000082,0.21771125007932873,0.7822887499206712
E07000083,0.088730337908876,0.911269662091124
E07000084,0.13063263870777433,0.8693673612922257
E07000085,0.0028475141086661653,0.9971524858913339
E07000086,0.6688609515107513,0.3311390484892487
E07000087,0.284681711885429,0.715318288114571
E07000088,0,1
E07000089,0.11475415435464295,0.885245845645357
E07000090,0.04433682905010047,0.9556631709498995
E07000091,0.03080404014383513,0.9691959598561649
E07000092,0.1301137477359183,0.8698862522640817
E07000093,0.06099656806471116,0.9390034319352888
E07000094,0.054381735068847276,0.9456182649311528
E07000095,0.002826490420802839,0.9971735095791971
E07000096,0.044986450561125914,0.9550135494388741
E07000098,0.38369320969298665,0.6163067903070134
E07000099,0.1793162007640133,0.8206837992359867
E07000102,0.5709607135614504,0.4290392864385496
E07000103,0.12493161390104826,0.8750683860989518
E07000105,0.09386362788535428,0.9061363721146457
E07000106,0,1
E07000107,0.24730548016303308,0.7526945198369669
E07000108,0,1
E07000109,0.020379671128439997,0.97962032887156
E07000110,0.15513753725772905,0.844862462742271
E07000111,0.31543816096010074,0.6845618390398993
E07000112,0.05689408603255283,0.9431059139674471
E07000113,0.2018455499051297,0.7981544500948703
E07000114,0,1
E07000115,0.08716073479691726,0.9128392652030828
E07000116,0,1
E07000117,0,1
E07000118,0.4246213490902752,0.5753786509097247
E07000119,0.193776927225446,0.806223072774554
E07000120,0,1
E07000121,0.27407398832391855,0.7259260116760815
E07000122,0.09781646836228218,0.9021835316377178
E07000123,0.341173759578867,0.658826240421133
E07000124,0,1
E07000125,0.01965701625178993,0.98034298374821
E07000126,0.14582768920877984,0.8541723107912201
E07000127,0.10865574490415457,0.8913442550958455
E07000128,0.2663349938261207,0.7336650061738793
E07000129,0.2784930528629695,0.7215069471370306
E07000130,0.02346158723634636,0.9765384127636536
E07000131,0.06843987588334627,0.9315601241166538
E07000132,0.07007807500584859,0.9299219249941514
E07000133,0,1
E07000134,0.06812015172349818,0.9318798482765018
E07000135,0,1
E07000136,0,1
E07000137,0,1
E07000138,0,1
E07000139,0,1
E07000140,0,1
E07000141,0,1
E07000142,0,1
E07000143,0,1
E07000144,0,1
E07000145,0,1
E07000146,0,1
E07000147,0,1
E07000148,0,1
E07000149,0,1
E07000150,0,1
E07000151,0.038362137114636596,0.9616378628853635
E07000152,0,1
E07000153,0,1
E07000154,0.03461856528605164,0.9653814347139483
E07000155,0.06950985141866915,0.9304901485813308
E07000156,3.745591837003182e-4,0.9996254408162997
E07000163,0,1
E07000164,0.033427770843825116,0.9665722291561749
E07000165,0.08444239490505794,0.9155576050949421
E07000166,0.12377907063847618,0.8762209293615238
E07000167,0,1
E07000168,0,1
E07000169,0.039952083379367606,0.9600479166206324
