latravel,motorway,other
E06000001,0,1
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0.0072043312829322996,0.9927956687170677
E06000006,0.001472289362505032,0.998527710637495
E06000007,0.017713944027543203,0.9822860559724568
E06000008,0.021114981887764023,0.9788850181122359
E06000009,6.394740298669623e-5,0.9999360525970133
E06000010,0,1
E06000011,0,1
E06000012,0,1
E06000013,0,1
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,2.6008859076243806e-5,0.9999739911409238
E06000019,0.002414279427233111,0.9975857205727668
E06000020,0.01162917312541699,0.988370826874583
E06000021,5.192741630170361e-4,0.999480725836983
E06000022,0,1
E06000023,0.0488781396887265,0.9511218603112735
E06000024,0.01988482726935509,0.9801151727306449
E06000025,0.03462559857076285,0.9653744014292371
E06000026,0,1
E06000027,0,1
E06000028,0,1
E06000029,0,1
E06000030,0.0034386436239190786,0.9965613563760809
E06000031,0,1
E06000032,0.017467850485125256,0.9825321495148748
E06000033,0,1
E06000034,2.8960041436772686e-4,0.9997103995856322
E06000035,0.0016504148458500849,0.99834958515415
E06000036,0,1
E06000037,0.008973026673977069,0.991026973326023
E06000038,0.001794126694693653,0.9982058733053063
E06000039,0.06108601877229331,0.9389139812277066
E06000040,0.03959451344545305,0.9604054865545469
E06000041,0.04397397984037522,0.9560260201596248
E06000042,0,1
E06000043,0.004890607951215112,0.9951093920487849
E06000044,0.06560615247603284,0.9343938475239671
E06000045,0.008175082433146262,0.9918249175668538
E06000046,0,1
E06000047,0.005596799825616981,0.994403200174383
E06000049,0.0015686473978030425,0.998431352602197
E06000050,0.023348099933722766,0.9766519000662772
E06000051,0.0027138358454925566,0.9972861641545074
E06000052,0,1
E06000054,0,1
E06000055,0,1
E06000056,0.00858105323327843,0.9914189467667216
E06000057,0,1
E07000004,0,1
E07000005,0,1
E07000006,0.02601490526049651,0.9739850947395035
E07000007,0.0050843272053262235,0.9949156727946737
E07000008,7.164164377629104e-4,0.9992835835622371
E07000009,0,1
E07000010,0,1
E07000011,0,1
E07000012,0.0034801330137181623,0.9965198669862818
E07000026,0,1
E07000027,0,1
E07000028,0.01877690930223738,0.9812230906977626
E07000029,0,1
E07000030,0.0018342733465610023,0.998165726653439
E07000031,0,1
E07000032,0,1
E07000033,0.007370066842487714,0.9926299331575122
E07000034,6.533464645274218e-4,0.9993466535354726
E07000035,0,1
E07000036,0.002853229096471251,0.9971467709035288
E07000037,0,1
