latravel,off_public_highway,rural_other,rural_primary,urban_other,urban_primary
E06000001,0.007630022540666613,0.03694357488246196,0.021400888439451947,0.8353086386060702,0.09871687553134925
E06000002,0.0036332798903550142,0.020458519135839293,8.912318817359724e-4,0.9306355178726907,0.044381451219379045
E06000003,0.0011267846144072634,0.04948926056072827,0.006105722886008297,0.9120138801894593,0.03126435174939697
E06000004,0.01936129989285021,0.09782383106966545,0.021308043604587476,0.7784526591849409,0.08305416624795593
E06000005,0.05721204045816148,0.08678328466681148,0.0067194445016521,0.7921727515788186,0.057112478794556304
E06000006,0.11719200555132098,0.08607865079938186,0.004663665764115934,0.7821857982793576,0.00987987960582363
E06000007,0.028053679338554925,0.06896081143586388,0.007386045041825834,0.7994229542349502,0.09617650994880517
E06000008,0.013497687028193412,0.033608612362842495,0.0047795996102363335,0.839651150518964,0.10846295047976372
E06000009,0.053953975912393246,0.03184164285064193,0.0017504906458980052,0.836777711421623,0.07567617916944387
E06000010,0.005596897708920662,0.009438917143947232,6.90840518859601e-5,0.8799608172204894,0.10493428387475685
E06000011,0.00694404917829064,0.05605468798944229,0.00531695426165368,0.9220548288845367,0.009629479686076728
E06000012,0.0101056893994537,0.052258483558116034,0.014213118316238125,0.8432170060809898,0.08020570264520223
E06000013,6.606122473281422e-4,0.09527824787442611,0.00826657668825775,0.8709852114947321,0.02480935169525592
E06000014,0.020791404897740135,0.05073232230735819,0.003956053178545373,0.7630942242177717,0.16142599539858457
E06000015,0.009310203662890757,0.060505950652128826,0.002775288781977215,0.8032887610511893,0.12411979585181382
E06000016,0.048784060593500746,0.028443792113899635,0.0014241613735731314,0.8561027804970802,0.06524520542194621
E06000017,0.013427004014762451,0.01922583353365965,4.0785782605410703e-4,0.9663575349868998,5.81769638623891e-4
E06000018,0.0037566948023456826,0.011562713499801385,2.2992087084823138e-4,0.8678551030974732,0.11659556772953164
E06000019,0.02382620937967661,0.09576172980228512,0.007332879453710785,0.7506076593287847,0.12247152203554275
E06000020,0.010597279787616421,0.20470047452308388,0.006358383007796245,0.7749590271525506,0.003384835528952932
E06000021,0.04195064403140498,0.027484346533493634,0.003202705888607468,0.8230635418752176,0.10429876167127636
E06000022,0.01104273590707536,0.0620279929167622,0.0022241655789078016,0.8267500818871599,0.0979550237100948
E06000023,0.02214839287253403,0.01153903298961393,0.0017816144229492942,0.9082245627234964,0.05630639699140642
E06000024,0.015593317315940911,0.056122663622441414,0.0028161106626581793,0.8616823826050539,0.0637855257939055
E06000025,0.030599667088063803,0.14681540934468776,0.0018739586549900464,0.8022843756262045,0.018426589286053955
E06000026,0.02967962795801073,0.028578608846042745,4.7163074414675855e-4,0.9023223824440514,0.03894775000774842
E06000027,0.028483553211626288,0.03292921323677481,0.008607694466145219,0.8696404895428459,0.06033904954260783
E06000028,0.011354832054424682,0.009841033913681864,7.660079568905079e-4,0.9070064727348318,0.07103165334017106
E06000029,0.045604260924175376,0.03862640840590882,0.003206530897889843,0.8466762982222994,0.06588650154972657
E06000030,0.036647991815327706,0.0518773881303275,0.0014589405105835873,0.8852430641785964,0.02477261536516473
E06000031,0.008752622462158176,0.07642883228995222,0.0040796613283789855,0.8731078479946247,0.03763103592488598
E06000032,0.004201421125059043,0.020257595525806704,9.028099929109467e-7,0.9351519974617784,0.04038808307736304
E06000033,0.003200713554521757,0.006403237172467517,8.590189848864765e-4,0.9124002404326647,0.07713678985545967
E06000034,0.025090110683947366,0.06618803529726379,0.02120069373274362,0.791617212553095,0.09590394773295007
E06000035,0.03871963738282796,0.02903903630385487,0.004506886655717367,0.861086060078229,0.06664837957937086
