latravel,motorway,other
E06000001,0,1
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0.06147970891638323,0.9385202910836167
E06000006,0.03851357227262213,0.9614864277273778
E06000007,0.5212835479221232,0.4787164520778768
E06000008,0.30573146617042357,0.6942685338295763
E06000009,0.01847105199475508,0.9815289480052448
E06000010,0,1
E06000011,0.0432403703551964,0.9567596296448035
E06000012,0,1
E06000013,0.1323324565459002,0.8676675434540997
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,0.005775866075293917,0.9942241339247061
E06000019,0,1
E06000020,0.16624699037996907,0.833753009620031
E06000021,0.0016694286141399849,0.99833057138586
E06000022,0,1
E06000023,0.20394542188745193,0.7960545781125481
E06000024,0.20270217668592613,0.7972978233140738
E06000025,0.23574715290799508,0.764252847092005
E06000026,0,1
E06000027,0,1
E06000028,0,1
E06000029,0,1
E06000030,0.21068968303635316,0.7893103169636468
E06000031,0.0018738658950740203,0.998126134104926
E06000032,0.3027103317118279,0.6972896682881721
E06000033,0,1
E06000034,0.08500138934252928,0.9149986106574707
E06000035,0.21700438816451198,0.7829956118354879
E06000036,0.02693584992641895,0.9730641500735812
E06000037,0.19481360370338557,0.8051863962966144
E06000038,0.03470340060210021,0.9652965993978997
E06000039,0.678516072394276,0.321483927605724
E06000040,0.4584924254888177,0.5415075745111823
E06000041,0.5351100185808377,0.46488998141916227
E06000042,0.18046528917083673,0.8195347108291633
E06000043,0.14164984045194007,0.8583501595480599
E06000044,0.5493449808035249,0.4506550191964751
E06000045,0.2306893503445213,0.7693106496554787
E06000046,0,1
E06000047,0.06328208036526824,0.9367179196347317
E06000049,0.15148803991653373,0.8485119600834662
E06000050,0.3031070521295266,0.6968929478704733
E06000051,0.09191621359421608,0.9080837864057839
E06000052,0,1
E06000054,0.023254464230343726,0.9767455357696563
E06000055,0,1
E06000056,0.16736912448005514,0.8326308755199447
E06000057,0,1
E07000004,0.0033835113049967367,0.9966164886950032
E07000005,0.07299540576113836,0.9270045942388616
E07000006,0.6295913277848906,0.3704086722151094
E07000007,0.2377384603318868,0.7622615396681134
E07000008,0.09101748736342562,0.9089825126365745
E07000009,0,1
E07000010,0,1
E07000011,0.033584802373489396,0.9664151976265105
E07000012,0.1019397277578678,0.8980602722421321
E07000026,0,1
E07000027,0,1
E07000028,0.29405493875041444,0.7059450612495854
E07000029,0,1
E07000030,0.3488590565508329,0.6511409434491671
E07000031,0.09290369968721722,0.9070963003127828
