latravel,motorway,rural_other,rural_primary,urban_other,urban_primary
E06000022,0,0.18370298135164165,0.4865807485891454,0.053168597443773065,0.27654767261543983
E06000023,0.44737821505987657,0,0.047886928934766974,0.043571384910347406,0.46116347109500905
E06000024,0.31193642882987127,0.19735344760748877,0.35067993966892946,0.045644852128914386,0.09438533176479608
E06000025,0.6636043617478742,0.07754887479217733,0.21519102225651213,0.0364493827624242,0.007206358441012132
E06000030,0,0.07620382079802815,0.030893270307660488,0.7228066886570804,0.17009622023723087
E06000054,0.3707459752286739,0.06812210441210689,0.38835781918446854,0.08181181246357223,0.09096228871117838
E07000079,0,0.3234971214710126,0.6765028785289873,0,0
E07000081,0.49131712885285367,0,0.04721200075579388,0.15152819215986882,0.3099426782314836
E07000082,0.782378341376378,0.16775183761936982,0.02302133713074357,0.02684848387350866,0
E07000083,0.28710305265784053,0.21044611605347066,0.2685328805116495,0.1943503340417398,0.03956761673529967
E07000187,0,0.19208962846846303,0.698660794186304,0,0.10924957734523301
E07000188,0,0.005753598999534438,0.8516886127556602,0.0015287306294791319,0.14102905761532625
E07000189,0,0.015587469096003552,0.916381626947358,0.05049545937253885,0.01753544458409953
