lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000187
E06000022,0.9908562455329464,0.005256468984082481,0,0,8.517046767243789e-4,0.003035580806246772
E06000023,0.0020884638578624122,0.9653108360953734,0.003818462079403231,0.02878223796736102,0,0
E06000024,0,0.004811891223273687,0.9951881087767264,0,0,0
E06000025,0,0.15779006082554106,0,0.8422099391744589,0,0
