lahome,E06000019,E06000022,E06000023,E06000024,E06000025,E06000030,E06000037,E06000054,E07000050,E07000078,E07000079,E07000080,E07000081,E07000082,E07000083,E07000180,E07000187,E07000188,E07000189,E07000190,E07000191
E06000022,0,0.16833807544244525,0.007982690563575439,0.040359023665384325,0.17808118887629035,0.0379150208000763,0.017106995410936694,0.32662773875602746,0,9.680984791037546e-4,0.03703175178562615,0,0.005642874201267861,0,0,0,0.0796111886177403,0.05769838106436412,0.01665818501568976,0,0.02597878732147214
E06000023,0,0.025573514810971053,0.09104289977396651,0.07521331142815758,0.29671422765219035,0.03138016253487422,0,0.188631300751138,0,0.0031580033647765635,0.01394747306850206,0,0.0077756692504958565,0.13983779931151288,0.013873525638128995,0,0.06689303665755998,0.028956087293760816,0.017002988463965175,0,0
E06000024,0,0,0.06551641726555985,0.31742754539356194,0.29825627931779974,0.0042336541533795884,0,0.06494999840898012,0,0.003406965366843201,0.020641139545132175,0.014973580123239062,0.0014265973993582764,0.05524285479681844,0,0,0.029490231667636854,0.08351072775394326,0.0161844138287044,0.022751746669952062,0.0019878483090909594
E06000025,0.030786582294184486,0.03752109359697899,0.023379505883674136,0.09097983057847199,0.32533616693700523,0,0,0.089855816469787,0.016244376206267164,0.016483892186201797,0.021508522424362048,0.03024031566043393,0.02815731041553417,0.19412372532988909,0.025227233434209382,0.005244357556520013,0.04066012023393379,0,0.00854045958040838,0.015710691212138292,0
