latravel,motorway,other
E06000001,0,1
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0,1
E06000006,0.023509011685528214,0.9764909883144718
E06000007,0.011027766588686245,0.9889722334113138
E06000008,0,1
E06000009,0,1
E06000010,0,1
E06000011,0.0018204197021703934,0.9981795802978296
E06000012,0,1
E06000013,0,1
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,0,1
E06000019,0.0011342056646565317,0.9988657943353435
E06000020,0.010473074412666943,0.989526925587333
E06000021,4.4320290084518807e-4,0.9995567970991548
E06000022,0,1
E06000023,0.00576499764248454,0.9942350023575155
E06000024,0,1
E06000025,0.006428465363749827,0.9935715346362501
E06000026,0,1
E06000027,0,1
E06000028,0,1
E06000029,0,1
E06000030,0.006949101843263757,0.9930508981567362
E06000031,0.0028039170275540176,0.997196082972446
E06000032,0.020210991396566517,0.9797890086034334
E06000033,0,1
E06000034,3.971402055439191e-5,0.9999602859794456
E06000035,0.0022586784471145703,0.9977413215528854
E06000036,0,1
E06000037,0,1
E06000038,0,1
E06000039,0,1
E06000040,0,1
E06000041,0.0067964128388544225,0.9932035871611455
E06000042,0,1
E06000043,0.05130965696636493,0.9486903430336351
E06000044,0.01801221765460115,0.9819877823453989
E06000045,0.0072987649299762584,0.9927012350700237
E06000046,0,1
E06000047,0.001619236019698261,0.9983807639803017
E06000049,0.004149893748220636,0.9958501062517794
E06000050,0.006710517146275612,0.9932894828537244
E06000051,0.0012557897147781696,0.9987442102852219
E06000052,0,1
E06000054,1.6030867780766157e-5,0.9999839691322192
E06000055,0,1
E06000056,0.004451636443002983,0.995548363556997
E06000057,0,1
E07000004,0,1
E07000005,0,1
E07000006,0.01434711373914228,0.9856528862608577
E07000007,0.009006117702170392,0.9909938822978296
E07000008,0.0061558221382544305,0.9938441778617456
E07000009,0,1
E07000010,0,1
E07000011,0.004177333688705601,0.9958226663112943
E07000012,0.011598968536671295,0.9884010314633287
E07000026,0,1
E07000027,0,1
E07000028,0.009319809198548804,0.9906801908014512
E07000029,0,1
E07000030,0,1
E07000031,0,1
E07000032,0,1
E07000033,0.0016593673939779194,0.9983406326060221
E07000034,0,1
E07000035,0,1
E07000036,0.03020210480092763,0.9697978951990723
E07000037,0,1
E07000038,0,1
E07000039,0,1
E07000040,0.001787774982061613,0.9982122250179384
E07000041,0,1
E07000042,0,1
E07000043,0,1
E07000044,0,1
E07000045,0,1
E07000046,0,1
E07000047,0,1
E07000048,0,1
