latravel,motorway,rural_other,rural_primary,urban_other,urban_primary
E06000022,0,0.20498895080798418,0.4458622533986928,0.12594867706792268,0.22320011872540038
E06000023,0.2514678558837709,0.009482670963489712,0.12766702964830703,0.16426367825675867,0.44711876524767363
E06000024,0.08013305028198797,0.258303331771479,0.4100279842247541,0.13035197227244272,0.12118366144933618
E06000025,0.34861510648050187,0.26008399519576,0.17463838330584672,0.11547748738938471,0.10118502762850669
E06000054,0,0.2955923960795724,0.3984042936317301,0.18412991036615697,0.12187339992254058
E07000081,0.3879250285142514,0.013531363665449209,0.07455354460027923,0.275379292824841,0.2486107703951791
E07000082,0.7331193782770464,0.13241921886465205,0.05895136455288499,0.049728832251105914,0.025781206054310585
E07000083,0.37216587448305555,0,0.5252527245378836,0,0.1025814009790609
E07000187,0,0.4851771906677196,0.38418435755304914,0.0468587118878939,0.08377973989133736
E07000188,0,0.12161146758323,0.6360720828817448,0.05757455066046965,0.18474189887455555
