lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000081,E07000082,E07000083,E07000187,E07000188
E06000022,0.673377960353819,0.0987550525973772,0.09604088721112163,0.052106465946985814,0.013230347609085617,0,0,0,0.0660772923728618,4.1199390874888065e-4
E06000024,0.042475336399833565,0.14594877233262013,0.7055844396803351,0.04538724754137166,0.0018112764701782248,0,0,0,0.04074501436867846,0.018047913206982735
E06000025,0.017978235319805583,0.1518913941237291,0.014826822131273051,0.7589024957385258,0.0070296800847035506,0.0021013308214725937,0.04613426009119059,0.0011357816892997405,0,0
