lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000082,E07000187,E07000188
E06000022,0.7252419716796824,0.1511604609825902,0,0.01390451122162684,0.040515779084929114,0,0.06917727703117146,0
E06000023,0.015135873917878882,0.7254870668231967,0.051292455573956494,0.20808460368496795,0,0,0,0
E06000024,0,0.0939763952887127,0.8917396358986482,0,0,0,0,0.014283968812639106
E06000025,0.028781455257622404,0.30411976125978335,0,0.666513913523162,0,5.848699594320499e-4,0,0
