latravel,motorway,other
E07000044,0,1
E07000045,0.0100432780753966,0.9899567219246034
E07000046,0,1
E07000047,0,1
E07000048,0,1
E07000049,0,1
E07000050,0,1
E07000051,0,1
E07000052,0,1
E07000053,0,1
E07000061,0,1
E07000062,0,1
E07000063,0,1
E07000064,0,1
E07000065,0,1
E07000066,0,1
E07000067,0,1
E07000068,0.27845246501567145,0.7215475349843284
E07000069,0,1
E07000070,0,1
E07000071,0,1
E07000072,0.7234172625671614,0.2765827374328385
E07000073,0.3525724167008868,0.6474275832991132
E07000074,0,1
E07000075,0,1
E07000076,0,1
E07000077,0.3775422897098167,0.6224577102901833
E07000078,0,1
E07000079,0,1
E07000080,0,1
E07000081,0,1
E07000082,0,1
E07000083,0.17578076703861076,0.8242192329613891
E07000084,0.24939808554848963,0.7506019144515103
E07000085,0,1
E07000086,0.4753785521222153,0.5246214478777848
E07000087,0,1
E07000089,0.18729184866770932,0.8127081513322906
E07000090,0,1
E07000091,0.027339241781760747,0.9726607582182392
E07000092,0.1963431071374112,0.8036568928625888
E07000093,0.1573919403837473,0.8426080596162527
E07000094,0.20689976138192448,0.7931002386180754
E07000095,0.07962002733066159,0.9203799726693385
E07000096,0.1995125439907987,0.8004874560092012
E07000098,0.7131936656956175,0.28680633430438246
E07000099,0.17885411433971812,0.821145885660282
E07000102,0.9329947721296382,0.06700522787036176
E07000105,0.4081893727782562,0.5918106272217438
E07000106,0,1
E07000107,0.3855054264435379,0.6144945735564621
E07000108,0,1
E07000109,0.11400882975313001,0.8859911702468701
E07000110,0.38465233136868293,0.615347668631317
E07000111,0.7695218155241814,0.2304781844758184
E07000112,0.08531432078384169,0.9146856792161584
E07000113,0.45716179330453094,0.542838206695469
E07000114,0,1
E07000115,0.20826643792799562,0.7917335620720043
E07000116,0,1
E07000117,0,1
E07000118,0.5515009073283761,0.4484990926716238
E07000119,0.3937838027115681,0.6062161972884318
E07000120,0.27092284181215054,0.7290771581878494
E07000121,0.40403314927152345,0.5959668507284767
E07000122,0.17343907500442776,0.8265609249955722
E07000123,0.9243794748603013,0.07562052513969879
E07000124,0,1
E07000126,0.7965266548102695,0.2034733451897305
E07000127,0.3066970536489082,0.6933029463510918
E07000128,0.28588181417113523,0.7141181858288648
E07000129,0,1
E07000130,0,1
E07000131,0,1
E07000132,0,1
E07000133,0,1
E07000134,0.03502081240388996,0.96497918759611
E07000135,0,1
E07000136,0,1
E07000137,0,1
E07000138,0,1
E07000139,0,1
E07000140,0,1
E07000141,0,1
E07000142,0,1
E07000143,0,1
E07000144,0,1
E07000145,0,1
E07000146,0,1
E07000147,0,1
E07000148,0,1
E07000149,0,1
E07000150,0,1
E07000151,0.3641312450677223,0.6358687549322777
E07000152,0,1
E07000153,0,1
E07000154,0.20027571615519907,0.7997242838448011
E07000155,0.07858176514080077,0.9214182348591993
E07000156,0,1
E07000163,0,1
E07000164,0,1
E07000165,0.22779055904883616,0.7722094409511638
E07000166,0,1
E07000167,0,1
E07000168,0,1
E07000169,0.30267217465195867,0.6973278253480414
E07000170,0.6878574411331095,0.3121425588668904
E07000171,0,1
E07000172,1,0
E07000173,0,1
E07000174,0,1
E07000175,0,1
E07000176,0,1
E07000177,0.10261858006963198,0.897381419930368
E07000178,0,1
E07000179,0.20643173811057794,0.7935682618894222
E07000180,0,1
E07000181,0,1
E07000187,0,1
E07000188,0.26265156728397526,0.7373484327160247
E07000189,0,1
E07000190,0.071030586913144,0.928969413086856
E07000191,0,1
E07000192,0.5721890113212538,0.4278109886787463
E07000193,0,1
E07000194,0.1321225746551741,0.8678774253448259
E07000195,0.45766237843070523,0.5423376215692948
E07000196,0.23352220915735064,0.7664777908426492
E07000197,0.36785784213419254,0.6321421578658075
E07000198,0,1
E07000199,0,1
E07000200,0,1
E07000201,0,1
E07000202,0,1
E07000203,0.07857043317771434,0.9214295668222857
E07000204,0,1
E07000205,0,1
E07000206,0,1
E07000207,0.8927668928013125,0.10723310719868752
E07000208,0,1
E07000209,0.23396999973943583,0.7660300002605641
E07000210,0.850030563148312,0.14996943685168798
E07000211,0.8928546970099895,0.10714530299001038
E07000212,0.9862203533532303,0.013779646646769606
E07000213,0.737933393519252,0.26206660648074803
E07000214,0.43736654212616927,0.5626334578738307
E07000215,0.8329186187105566,0.1670813812894434
E07000216,0,1
E07000217,1,0
E07000218,0,1
E07000219,0,1
E07000220,0.0918568923442154,0.9081431076557845
E07000221,0.08757076368725306,0.912429236312747
E07000222,0.2097751627272249,0.790224837272775
E07000223,0.25580301294003566,0.7441969870599644
E07000224,0,1
E07000225,0,1
E07000226,0.7480336983060646,0.2519663016939354
E07000227,0,1
E07000228,0.16491605008297025,0.8350839499170298
E07000229,0,1
E07000234,0.29487439858263265,0.7051256014173672
E07000235,0,1
E07000236,0,1
E07000237,0,1
E07000238,0.023788691387906676,0.9762113086120934
E07000239,0,1
E07000240,0.4818491480671037,0.5181508519328963
E07000241,0.6858568965654669,0.3141431034345331
E07000242,0,1
E07000243,0.5155162394313484,0.4844837605686516
E08000001,1,0
E08000002,0.9662880477897832,0.033711952210217014
E08000003,1,0
E08000005,0.9502527017318139,0.049747298268186274
E08000006,0.8533514015122525,0.14664859848774767
E08000007,1,0
E08000008,0.6852777850201024,0.31472221497989766
E08000009,1,0
E08000010,0.958788356642418,0.04121164335758198
E08000012,0,1
E08000013,1,0
E08000014,0.2388831046891598,0.7611168953108401
E08000015,0,1
E08000016,0.055266508383794016,0.944733491616206
E08000017,0.5152971344966035,0.4847028655033965
E08000018,0.9130947045755433,0.08690529542445664
E08000019,0.32553391077539184,0.6744660892246082
E08000022,0,1
E08000024,0,1
E08000025,0.2108957112230049,0.789104288776995
E08000026,0,1
E08000027,0.1310253696399152,0.8689746303600848
E08000028,1,0
E08000029,0,1
E08000030,0.7078806781206396,0.29211932187936024
E08000031,0,1
E08000032,0.2567670573964907,0.7432329426035093
E08000033,0.26127061258142387,0.7387293874185761
E08000034,0.2472701575221959,0.752729842477804
E08000035,0.5279086078097867,0.4720913921902132
E08000036,0.2388712084769222,0.7611287915230778
E09000002,0.17902640196533584,0.8209735980346641
E09000003,0,1
E09000004,0.2902693910125373,0.7097306089874627
E09000005,0,1
E09000006,0.0014426928131056366,0.9985573071868944
E09000007,0,1
E09000008,0,1
E09000009,0,1
E09000010,0.8761373665402642,0.12386263345973582
E09000011,0.3236108941464609,0.6763891058535391
E09000013,0,1
E09000015,0,1
E09000016,0.6814778970287347,0.3185221029712656
E09000017,0.19949430550641825,0.8005056944935818
E09000018,0.16447570248224316,0.8355242975177568
E09000019,0,1
E09000020,0,1
E09000021,0,1
E09000023,0,1
E09000024,0,1
E09000025,0.12627310874081796,0.873726891259182
E09000026,1,0
E09000027,0,1
E09000029,0,1
E09000030,0.11674507949646803,0.8832549205035319
E09000032,0,1
E09000033,0,1
