lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000079,E07000081,E07000082,E07000187,E07000188,E07000189,E07000190
E06000022,0.6123496436104869,0.07471637378772501,0.02072934549835509,0.10993351724667054,0.07141480279179753,0,0,8.973584457211352e-4,0.10995895861924378,0,0,0
E06000023,0.07075888428841229,0.551509046529953,0.10816415128024957,0.24629971333793627,0.007856072952121991,0.0011892215478406653,0,0.004333257208164235,0.008991512139664853,6.838748134366486e-4,2.1426590222049465e-4,0
E06000024,0.006405472057846483,0.09420468428505502,0.7464704929704635,0.08786348861177953,0,0,0,6.204278031965298e-4,0.009311151820517017,0.05201257577653349,0,0.00311170667460834
E06000025,0.04477078913567077,0.1725358277517227,0.02941868066877563,0.7303624653285327,0.008126527174600967,0.00209414114778143,0.0010476567755305522,0.009329440867680994,0.002314471149704201,0,0,0
