lahome,E06000022,E06000023,E06000024,E06000025,E06000030,E06000054,E07000079,E07000081,E07000082,E07000083,E07000187,E07000188,E07000189
E06000022,0.270177992723944,0,0.12470574127260588,0,0.016046360434847706,0.2595538531200515,0,0,0,0,0.2267908982307822,0,0.10272515421776865
E06000024,0.141318124983899,0.07899019923329365,0.5013977158900372,0.11778474761744369,0,0,0,0,0,0,0,0.16050921227532647,0
E06000025,0.059216469358286006,0.0727346830251012,0,0.3626957583222606,0,0,0.07485819739466554,0.0409866086239675,0.3531372817959774,0.03637100147974183,0,0,0
