latravel,off_public_highway,rural_other,rural_primary,urban_other,urban_primary
E06000022,0.0017484657452537268,0.5987843232641368,0.01119350610410109,0.37025056132437434,0.018023143562134112
E06000023,0.2061939769679523,0.005336227243273324,0.07012585099013208,0.561473435424014,0.15687050937462832
E06000024,0.01238531169585769,0.3939714571850473,0.05198177586361738,0.5064546796251993,0.03520677563027826
E06000025,0.011143580534088803,0.5899916647458935,0.04285821253871328,0.34551221738980553,0.010494324791498975
E06000054,0,1,0,0,0
E07000188,0,0.39290136274636384,0.6070986372536362,0,0
