lahome,E06000022,E06000023,E06000024,E06000025,E06000054,E07000080,E07000082,E07000187,E07000188,E09000007,E09000012,E09000019,E09000020,E09000025,E09000026,E09000030,E09000031,E09000033
E06000022,0.6859876908137688,0.1346188349857044,0,0.14812834074347192,0.007182430453039006,0,0,0.01726862761246479,0,5.214069831995154e-4,0.0020582507121390155,6.334320289599583e-4,0,7.143001148245053e-4,0.002318510393691554,1.117065295427356e-4,2.9575790125229665e-4,1.6071072794162654e-4
E06000023,0.02795276731127547,0.7344813723939837,0.03400742086075761,0.20115202352512546,0,0,0,0,0,0,0,0,8.060566331593404e-4,0,0,0,0,0.001600359275698465
E06000024,0,0.1311749382583701,0.8530585389879207,0.003412380623364386,0,0,0,0,0.012354142130344792,0,0,0,0,0,0,0,0,0
E06000025,0.026431019972198946,0.360622355451915,7.23028547806703e-4,0.6108876396909351,0,3.1525973664439893e-4,0.0010206966004998983,0,0,0,0,0,0,0,0,0,0,0
